Date,NPK,PK,NK,CK,OF,Dew Point Temperature (F),Average Temperature (F),Visibility (mi),Average Wind Speed ​​(knots),Maximum Sustained Wind Speed ​​(knots),Maximum Gust (knots),Maximum Temperature (F),Minimum Temperature (F),Precipitation (in)
2021-08-30,1.76873,1.15896,4.4137,1.38125,1.6362,75.9,87.4,6.7,4.4,13.6,18.3,95.0,74.5,0.0
2021-09-10,7.7292544,1.3629056,4.307562,1.1128128,4.18796532,78.2,88.7,6.1,3.4,7.8,13.6,97.7,79.0,0.0
2021-09-27,11.25432,1.6945376,9.6459363,1.3237644,6.83937016,76.1,88.5,5.9,3.6,5.8,0.0,98.6,75.6,0.0
2021-10-07,3.62824,1.9378008,3.397856,1.3714272,3.12367548,71.0,88.3,6.7,7.2,13.6,20.6,96.8,74.3,0.01
2021-10-26,7.4213172,1.0847943,5.5155456,1.6540524,5.46509348,62.2,76.1,6.7,3.3,7.8,12.0,84.9,61.0,0.0
2021-11-15,4.9374171,1.5196192,3.0794742,1.385109,4.03633104,53.0,67.5,6.7,3.9,6.0,10.7,76.6,56.5,0.0
2021-12-01,3.43539,1.8929798,3.5406072,1.3652184,2.162034468,30.1,59.2,6.7,10.7,17.5,23.3,71.4,45.3,0.0
2022-03-30,6.479475,1.89852,6.467175,1.522885,7.5945831,68.0,73.0,6.0,2.7,5.8,0.0,81.5,60.4,0.0
2022-04-07,4.24677,1.89261,3.54858,1.17218,2.449845,54.9,76.6,6.5,5.2,11.7,17.1,87.8,60.8,99.99
2022-04-17,5.973275,1.10722,4.718175,1.1607,3.973116,59.4,63.4,6.4,5.8,9.7,0.0,75.0,59.7,0.06
2022-04-28,2.590965,1.05105,1.82721,0.80145,1.8246222,76.9,83.3,6.7,7.0,11.7,0.0,91.4,74.3,0.06
2022-05-10,4.05102,0.57441,3.00208,0.75735,2.871297,75.9,77.5,5.7,4.8,9.7,0.0,83.1,70.7,0.72
2022-05-16,2.89485,1.947465,1.72956,1.392885,3.3530264,60.2,67.9,6.3,8.2,15.5,0.0,75.9,58.8,0.1
2022-05-23,2.81666,0.871,1.60752,0.7215,1.2602151,74.9,76.2,4.7,4.7,7.8,0.0,82.8,72.0,0.06
2022-06-03,1.88595,1.06989,1.52387,0.94645,1.97064,79.9,83.8,6.6,7.2,17.5,0.0,93.2,77.7,0.38
2022-09-04,0.8524,0.691425,2.2287,0.65,0.78174,66.8,86.5,6.7,8.5,15.5,0.0,93.2,74.1,0.0
2022-09-09,5.67461125,1.1847254,4.4350845,1.369626,3.89365368,76.4,85.5,6.7,4.0,9.7,0.0,94.6,74.5,0.0
2022-09-21,3.2983632,0.69202395,3.2748552,0.7634088,2.6814711,74.8,84.6,6.7,4.9,7.8,0.0,93.4,74.1,0.0
2022-09-28,2.0690488,0.6493088,2.0101956,0.8167908,2.05167998,74.4,87.0,6.7,5.3,9.7,0.0,96.8,73.9,0.0
2022-10-10,4.521613824,0.654194688,2.34762129,0.650995488,2.0311631802,48.3,72.9,6.7,12.6,21.4,27.2,86.2,61.5,0.0
2022-10-25,2.9816955,1.92799035,1.7987424,1.21180995,2.68242112,64.7,77.9,6.7,5.4,9.7,0.0,88.7,63.3,0.0
2022-11-01,1.810512,1.2089757,1.3105282,1.041095,2.364768,56.1,76.1,6.7,15.4,23.3,33.0,82.4,67.5,0.01
2023-04-07,6.53577903,2.128009046,7.4635064192,1.8837401472,5.74763738868,55.8,70.3,6.7,9.1,15.5,0.0,83.5,60.8,0.0
