Date,NPK,PK,NK,CK,DI,CR,OF,Dew Point Temperature (F),Average Temperature (F),Visibility (mi),Average Wind Speed ​​(knots),Maximum Sustained Wind Speed ​​(knots),Maximum Gust (knots),Maximum Temperature (F),Minimum Temperature (F),Precipitation (in)
2021-10-07,0.4687719,0.391716,0.1716,0.095634,0.097416,0.088608,0.171039132,71.0,88.3,6.7,7.2,13.6,20.6,96.8,74.3,0.01
2021-10-18,0.4252842,0.3426072,0.1384508,0.1418916,0.1577608,0.1576368,0.286078945,60.5,73.3,6.7,5.6,9.7,14.8,80.6,60.8,0.0
2021-10-26,0.2710656,0.182988,0.1586304,0.140157,0.0632448,0.04992,0.096134976,62.2,76.1,6.7,3.3,7.8,12.0,84.9,61.0,0.0
2022-03-30,0.32072,0.295651902,0.086949716,0.056358,0.186813,0.228186504,0.29623195,68.0,73.0,6.0,2.7,5.8,999.9,81.5,60.4,0.0
2022-04-07,0.22258145,0.204393735,0.050214978,0.06044375,0.1311552,0.1386693,0.15295445,54.9,76.6,6.5,5.2,11.7,17.1,87.8,60.8,99.99
2022-04-17,0.2174715,0.22675302,0.067431,0.043263,0.038297772,0.058664034,0.089237808,59.4,63.4,6.4,5.8,9.7,999.9,75.0,59.7,0.06
2022-04-28,0.2061984,0.150022422,0.063824448,0.05814,0.0796936,0.083184408,0.13368175,76.9,83.3,6.7,7.0,11.7,999.9,91.4,74.3,0.06
2022-05-10,0.22955325,0.22037184,0.08424,0.043263,0.041906592,0.048883926,0.0883082475,75.9,77.5,5.7,4.8,9.7,999.9,83.1,70.7,0.72
2022-05-16,0.12633765,0.105736605,0.061205625,0.0383745,0.036113784,0.046746396,0.060855472,60.2,67.9,6.3,8.2,15.5,999.9,75.9,58.8,0.1
2022-05-23,0.1211976,0.108587232,0.06488424,0.034106,0.050337,0.0414668,0.04041072,74.9,76.2,4.7,4.7,7.8,999.9,82.8,72.0,0.06
2022-06-03,0.161472,0.10485936,0.05620455,0.077865,0.11631648,0.0891072,0.1005728,79.9,83.8,6.6,7.2,17.5,999.9,93.2,77.7,0.38
2022-09-04,0.315299832,0.28402076124,0.08434122452,0.0463939056,0.1664334,0.23924477304,0.22833558706,66.8,86.5,6.7,8.5,15.5,999.9,93.2,74.1,0.0
2022-09-09,0.25996383,0.1758906,0.062095005,0.034789248,0.05503716,0.083279175,0.10509264,76.4,85.5,6.7,4.0,9.7,999.9,94.6,74.5,0.0
2022-09-21,0.27806424,0.301942368,0.09293484,0.066101672,0.25389585,0.2147418,0.28955161725,74.8,84.6,6.7,4.9,7.8,999.9,93.4,74.1,0.0
2022-09-28,0.3062084805,0.2860803,0.075405792,0.094024875,0.1598454,0.150407775,0.163238196,74.4,87.0,6.7,5.3,9.7,999.9,96.8,73.9,0.0
2022-10-10,0.196884198,0.195858,0.10296,0.04972968,0.05065632,0.04341792,0.07525721808,48.3,72.9,6.7,12.6,21.4,27.2,86.2,61.5,0.0
2022-10-25,0.154507392,0.09057906,0.080108352,0.0700785,0.036681984,0.0254592,0.05239356192,64.7,77.9,6.7,5.4,9.7,999.9,88.7,63.3,0.0
2023-04-07,0.2391667236,0.253819352,0.0558855045,0.03235400064,0.18700838156,0.18749512575,0.1894583376,55.8,70.3,6.7,9.1,15.5,999.9,83.5,60.8,0.0
2023-04-17,0.304684,0.2660867118,0.08086323588,0.0507222,0.20581317,0.267771788,0.2204533394,72.9,82.8,6.2,7.9,13.6,999.9,91.4,66.7,0.0
2023-04-26,0.2180755875,0.2049458112,0.0791856,0.0389367,0.189897313056,0.19464397297,0.175126670175,59.3,70.1,6.7,5.4,13.6,999.9,78.8,57.4,0.0
2023-05-04,0.1149672615,0.09833504265,0.056309175,0.03530454,0.095322468128,0.09420717564,0.0727699248,75.3,83.9,6.7,8.1,13.6,19.4,93.2,76.1,0.0
2023-05-11,0.215780055,0.209353248,0.0766584,0.04109985,0.18377159328,0.18439955334,0.16947742275,68.7,69.8,4.7,4.0,7.8,999.9,79.2,68.0,0.33
2023-05-18,0.112713768,0.10207199808,0.0596935008,0.0324007,0.096631004,0.0978978792,0.08839860768,78.5,84.5,5.3,4.7,21.4,999.9,95.9,74.8,1.54
2023-06-07,0.07728,0.0756,0.03094,0.02945,0.059423,0.067774,0.060729,79.9,81.7,6.4,5.1,9.7,999.9,91.4,76.6,1.68
2023-09-07,0.27558763245,0.277497891,0.06937332864,0.0883833825,0.257246946,0.230375153,0.25270866816,78.0,78.5,4.0,5.8,9.7,999.9,85.3,75.2,6.79
2023-09-17,0.30899383536,0.2726599307904,0.0792807510488,0.045466027488,0.258440398,0.2248900866576,0.2146354518364,77.8,85.3,6.7,4.0,7.8,999.9,95.0,75.0,0.0
2023-09-22,0.1870399881,0.18214794,0.0513712,0.0487350864,0.143123504,0.1305103072,0.1629892128144,78.2,86.3,5.6,4.5,7.8,999.9,93.2,80.6,99.99
2023-09-27,0.2752835976,0.28986467328,0.083641356,0.06411862184,0.238662099,0.289562456,0.1990740363875,77.5,87.6,6.7,3.6,7.8,999.9,96.8,76.5,0.14
2023-10-08,0.14060172672,0.0887674788,0.07770510144,0.06307065,0.13121470464,0.114167872,0.1417260125856,64.8,73.9,6.7,14.6,17.5,27.2,78.8,67.1,0.06
2023-10-21,0.07030086336,0.0443837394,0.03885255072,0.031535325,0.06560735232,0.057083936,0.0708630062928,59.1,63.6,6.6,8.3,15.5,999.9,75.9,59.9,0.05
