Date,NPK,PK,NK,CK,MT,SF,OF,Dew Point Temperature (F),Average Temperature (F),Visibility (mi),Average Wind Speed (knots),Maximum Sustained Wind Speed (knots),Maximum Gust (knots),Maximum Temperature (F),Minimum Temperature (F),Precipitation (in)
4/28/22,2.590965,1.05105,1.82721,0.80145,1.7181,1.8101,1.8246222,76.9,83.3,6.7,7,11.7,999.9,91.4,74.3,0.06
5/10/22,4.05102,0.57441,3.00208,0.75735,2.8589,2.11646,2.871297,75.9,77.5,5.7,4.8,9.7,999.9,83.1,70.7,0.72
5/16/22,2.89485,1.947465,1.72956,1.392885,2.09756,2.06094,3.3530264,60.2,67.9,6.3,8.2,15.5,999.9,75.9,58.8,0.1
5/23/22,2.81666,0.871,1.60752,0.7215,1.262075,0.679905,1.2602151,74.9,76.2,4.7,4.7,7.8,999.9,82.8,72,0.06
6/3/22,1.88595,1.06989,1.52387,0.94645,1.7472,1.5827,1.97064,79.9,83.8,6.6,7.2,17.5,999.9,93.2,77.7,0.38
9/4/22,0.8524,0.691425,2.2287,0.65,0.643875,1.07946,0.78174,66.8,86.5,6.7,8.5,15.5,999.9,93.2,74.1,0
9/9/22,5.67461125,1.1847254,4.4350845,1.369626,4.522763,4.55772,3.89365368,76.4,85.5,6.7,4,9.7,999.9,94.6,74.5,0
9/21/22,3.2983632,0.69202395,3.2748552,0.7634088,2.23146,2.07620125,2.6814711,74.8,84.6,6.7,4.9,7.8,999.9,93.4,74.1,0
9/28/22,2.0690488,0.6493088,2.0101956,0.8167908,1.8718,1.2193335,2.05167998,74.4,87,6.7,5.3,9.7,999.9,96.8,73.9,0
10/10/22,4.521613824,0.654194688,2.34762129,0.650995488,1.87704104,1.29017097,2.03116318,48.3,72.9,6.7,12.6,21.4,27.2,86.2,61.5,0
10/25/22,2.9816955,1.92799035,1.7987424,1.21180995,2.1185356,1.7311896,2.68242112,64.7,77.9,6.7,5.4,9.7,999.9,88.7,63.3,0
11/1/22,1.810512,1.2089757,1.3105282,1.041095,1.589952,1.376949,2.364768,56.1,76.1,6.7,15.4,23.3,33,82.4,67.5,0.01
4/7/23,6.53577903,2.128009046,7.463506419,1.883740147,7.85315344,6.147628752,5.747637389,55.8,70.3,6.7,9.1,15.5,999.9,83.5,60.8,0
4/17/23,10.38633057,1.741878504,10.68197275,1.76751396,8.209648935,8.417197296,8.660610345,72.9,82.8,6.2,7.9,13.6,999.9,91.4,66.7,0
4/26/23,7.943958,2.3041562,8.0747764,2.382524,7.013844,5.1184188,5.335218,59.3,70.1,6.7,5.4,13.6,999.9,78.8,57.4,0
5/4/23,3.6676549,1.8127746,3.9355272,1.8080712,3.7233136,2.918196,3.24717822,75.3,83.9,6.7,8.1,13.6,19.4,93.2,76.1,0
5/11/23,5.972013684,1.036833026,5.1335568,1.26916713,4.1682762,3.98106126,4.713521155,68.7,69.8,4.7,4,7.8,999.9,79.2,68,0.33
5/18/23,4.928028336,1.17664728,4.401461872,1.1103885,3.72188781,3.063404226,3.296176082,78.5,84.5,5.3,4.7,21.4,999.9,95.9,74.8,1.54
6/7/23,3.159117126,1.66543357,3.442044296,1.634613795,2.66063616,2.58961374,2.331281235,79.9,81.7,6.4,5.1,9.7,999.9,91.4,76.6,1.68
6/25/23,1.61361882,0.993071898,1.86005715,0.89572028,1.8066048,1.3816971,1.6209336,78,82.5,6.6,6,15.5,23.3,91.4,74.1,0.13
8/16/23,10.14892873,1.765714736,8.82011488,1.809737905,8.131966235,6.523327904,7.92000675,79.6,88.6,6.7,4.1,7.8,999.9,95,78.3,0
8/24/23,6.75686088,2.36053449,7.81442146,2.19166311,6.0694056,4.71514944,4.6547055,79.2,83.4,6.5,4.7,9.7,999.9,89.6,78.1,0.54
8/31/23,3.704331449,1.61550207,3.730402752,1.432059356,3.03485184,2.84963256,2.775845381,73.1,84,6.7,10.8,19.4,999.9,91.4,76.1,0
9/7/23,2.43500257,0.7846839,1.629543024,0.7121205,1.02228075,0.652368848,1.125120041,78,78.5,4,5.8,9.7,999.9,85.3,75.2,6.79
9/17/23,9.971912025,3.137114448,10.37205527,2.269707804,9.959903397,8.908554938,8.761534259,77.8,85.3,6.7,4,7.8,999.9,95,75,0
9/22/23,8.072979754,1.073926,8.131618727,1.121170469,6.546510646,5.597606824,5.144891696,78.2,86.3,5.6,4.5,7.8,999.9,93.2,80.6,99.99
9/27/23,2.965618656,0.980302197,3.083712288,0.779932682,2.553971697,2.420263257,2.497850083,77.5,87.6,6.7,3.6,7.8,999.9,96.8,76.5,0.14
10/8/23,5.095479074,2.123344367,4.619124927,2.196526715,4.584562235,4.277160953,3.946789175,64.8,73.9,6.7,14.6,17.5,27.2,78.8,67.1,0.06
