Date,NPK,PK,NK,CK,DI,CR,OF,Dew Point Temperature (F),Average Temperature (F),Visibility (mi),Average Wind Speed (knots),Maximum Sustained Wind Speed (knots),Maximum Gust (knots),Maximum Temperature (F),Minimum Temperature (F),Precipitation (in)
10/26/21,5.304618,2.4960756,6.7366572,2.0168,4.5755325,4.737216,4.7698872,62.2,76.1,6.7,3.3,7.8,12,84.9,61,0
3/30/22,6.07,2.12,4.8,1.43,3.67,3.39,4.25,68,73,6,2.7,5.8,999.9,81.5,60.4,0
4/7/22,12.9,3.21,12.7,2.77,8.12,6.09,9.26,54.9,76.6,6.5,5.2,11.7,17.1,87.8,60.8,99.99
4/17/22,8.4,2.35,6.5,1.72,4.1,5.3,6.39,59.4,63.4,6.4,5.8,9.7,999.9,75,59.7,0.06
4/28/22,10.4,1.66,6.02,2.33,6.52,4.41,8.53,76.9,83.3,6.7,7,11.7,999.9,91.4,74.3,0.06
5/10/22,7.43,1.89,9.94,2.98,4.19,6.53,7.22,75.9,77.5,5.7,4.8,9.7,999.9,83.1,70.7,0.72
5/16/22,6.99,1.96,9.1,2.72,3.58,4.53,6.38,60.2,67.9,6.3,8.2,15.5,999.9,75.9,58.8,0.1
5/23/22,10.7,1.45,8.66,3.28,6.97,2.5,4.11,74.9,76.2,4.7,4.7,7.8,999.9,82.8,72,0.06
6/3/22,7.25,2.16,5.43,2.07,6.54,5.41,4.28,79.9,83.8,6.6,7.2,17.5,999.9,93.2,77.7,0.38
9/4/22,7.73,2.85,6.87,2.54,3.94,6.96,5.02,66.8,86.5,6.7,8.5,15.5,999.9,93.2,74.1,0
9/9/22,12.2,4.05,11.9,3.14,6.57,7.24,8.79,76.4,85.5,6.7,4,9.7,999.9,94.6,74.5,0
9/21/22,7.7,3,6.93,1.62,4.73,6.3,4.37,74.8,84.6,6.7,4.9,7.8,999.9,93.4,74.1,0
9/28/22,6.31,2.64,6.03,1.31,4.49,5.1,4.02,74.4,87,6.7,5.3,9.7,999.9,96.8,73.9,0
10/10/22,12.2,5.58,7.29,2.86,4.42,7.79,3.1,48.3,72.9,6.7,12.6,21.4,27.2,86.2,61.5,0
10/25/22,4.52,2.51,5.29,1.7,3.93,4.85,2.9,64.7,77.9,6.7,5.4,9.7,999.9,88.7,63.3,0
4/7/23,11.868,3.0495,11.43,2.493,7.4704,5.5419,8.4266,55.8,70.3,6.7,9.1,15.5,999.9,83.5,60.8,0
4/17/23,9.776,1.5604,5.5384,2.1203,6.194,4.1895,7.677,72.9,82.8,6.2,7.9,13.6,999.9,91.4,66.7,0
4/26/23,6.687,1.701,8.946,2.7416,3.771,6.0729,6.7146,59.3,70.1,6.7,5.4,13.6,999.9,78.8,57.4,0
5/4/23,4.1132,2.3092,4.761,1.615,3.537,4.4135,2.755,75.3,83.9,6.7,8.1,13.6,19.4,93.2,76.1,0
5/11/23,7.896,2.209,6.175,1.5652,3.895,4.929,5.751,68.7,69.8,4.7,4,7.8,999.9,79.2,68,0.33
5/18/23,4.983126,2.2816612,5.4629502,2.2689,4.155042,4.5770136,3.8080406,78.5,84.5,5.3,4.7,21.4,999.9,95.9,74.8,1.54
6/7/23,2.413361,0.784336,2.36786,0.79833711,1.7425565,1.6269556,1.53099765,79.9,81.7,6.4,5.1,9.7,999.9,91.4,76.6,1.68
9/7/23,10.6812,2.86653,11.10234,2.344528,6.871956,4.98771,7.922856,78,78.5,4,5.8,9.7,999.9,85.3,75.2,6.79
9/17/23,8.80256,1.38942,5.43305,1.99215,5.33988,3.813768,7.21638,77.8,85.3,6.7,4,7.8,999.9,95,75,0
9/22/23,6.0183,1.59894,8.0514,2.46744,3.43161,5.893325,6.10812,78.2,86.3,5.6,4.5,7.8,999.9,93.2,80.6,99.99
9/27/23,7.182,1.96695,5.3235,1.471288,3.62276,4.4361,5.291559,77.5,87.6,6.7,3.6,7.8,999.9,96.8,76.5,0.14
10/8/23,4.340142,2.1437586,4.917830008,2.2273035,3.90573948,4.120296544,3.618893968,64.8,73.9,6.7,14.6,17.5,27.2,78.8,67.1,0.06
10/21/23,2.170071,1.0718793,2.458915004,1.11365175,1.95286974,2.060148272,1.809446984,59.1,63.6,6.6,8.3,15.5,999.9,75.9,59.9,0.05
