Date,NPK,PK,NK,CK,MT,SF,OF,Dew Point Temperature (F),Average Temperature (F),Visibility (mi),Average Wind Speed ​​(knots),Maximum Sustained Wind Speed ​​(knots),Maximum Gust (knots),Maximum Temperature (F),Minimum Temperature (F),Precipitation (in)
2019-08-27,7.392,4.481,5.688,2.888,4.946,4.636,4.303381612,77.1,85.0,5.6,3.2,7.8,0.0,91.4,77.0,0.12
2019-09-03,4.436,3.068,8.28,1.392,4.418,3.812,4.303381612,72.8,83.3,6.5,7.5,13.6,17.5,89.6,74.1,0.39
2019-09-18,3.068,4.264,5.176,2.371,3.86,3.86,4.303381612,68.3,86.7,6.4,8.7,13.6,19.4,93.2,75.4,0.15
2019-10-10,2.908,0.744,4.464,1.834,4.496,2.649,4.303381612,71.3,83.7,3.6,2.9,5.8,0.0,89.6,73.0,0.0
2019-11-18,1.54,0.776,1.255,0.864,1.099,0.757,4.303381612,51.3,68.4,6.1,13.6,19.4,25.3,78.8,56.3,0.0
2020-04-07,10.01,1.332,9.39,1.188,9.34,8.06,7.7376,55.8,65.8,6.2,2.5,6.8,12.4,73.0,57.4,0.0
2020-04-13,7.832,1.38,7.4,1.452,6.68,6.464,6.464,38.9,68.2,6.6,3.7,8.9,18.8,76.1,47.1,0.0
2020-04-23,5.464,1.362,4.494,1.464,5.242,4.164,3.41448,56.2,64.6,6.3,7.4,11.7,16.9,68.0,61.2,0.01
2020-05-27,9.34,1.551,8.73,1.5,8.15,7.98,6.7032,68.4,79.4,6.1,5.5,10.9,16.5,93.0,73.2,0.38
2020-06-02,5.93,1.62,5.265,1.548,6.01,4.72,4.012,73.7,80.1,5.9,4.8,11.7,17.5,86.5,76.1,0.04
2020-06-09,4.41632,1.32,3.4496,1.44,4.2224,3.1008,3.317856,74.1,78.1,4.8,4.6,13.6,25.3,86.0,73.4,0.75
2020-06-18,6.064,1.275,5.7,1.14,5.996,4.584,4.03392,74.9,85.2,6.6,5.6,14.4,28.4,93.2,75.7,0.01
2020-06-29,3.56,1.62,3.656,1.344,3.442,3.302,3.00482,74.3,88.5,6.5,4.9,12.4,17.5,96.8,79.2,0.0
2020-07-14,2.242,1.536,2.052,1.104,2.138,1.78,1.9936,72.5,92.3,6.5,4.7,9.7,21.4,100.4,78.8,0.0
2020-09-24,8.06696,1.3248,8.51,1.26324,5.5444,6.464,6.91648,66.8,77.8,6.7,6.1,11.7,16.7,90.1,72.9,0.01
2020-10-08,8.789,1.532,8.352,1.468,8.618,7.998,8.87778,58.0,73.1,6.7,10.9,15.5,23.1,78.8,68.2,0.0
2020-10-25,5.704,1.26,5.228,1.404,5.584,4.592,3.9032,55.0,75.2,6.7,3.3,6.2,11.8,82.4,63.5,0.0
2020-11-13,4.596,1.452,4.445,1.284,4.54,4.202,3.73978,48.3,75.6,6.6,9.5,15.5,17.3,82.4,58.6,0.0
2020-11-27,2.46,1.56,2.182,1.26,2.358,2.062,1.79394,52.2,65.9,6.7,12.7,15.5,21.4,81.9,57.4,0.0
2020-12-11,6.87,1.272,5.652,1.38,4.9,3.57,3.1773,56.1,68.8,6.4,6.7,11.7,15.9,76.5,62.6,0.01
2020-12-29,3.9,1.296,3.896,1.356,3.59,3.16,3.476,51.3,66.1,5.2,10.1,25.3,40.4,80.6,50.0,0.0
2021-03-02,5.08152,1.32114,4.85352,1.464,5.66136,4.08072,3.4827696,46.8,62.9,6.7,10.3,15.5,27.4,76.6,57.6,0.0
2021-03-21,9.9938,1.67508,8.2935,1.44,8.965,8.778,6.03288,48.2,58.7,6.6,13.8,17.5,26.6,86.0,56.1,0.0
2021-04-13,5.8114,1.5552,5.6862,1.43964,6.1302,4.5312,3.89164,69.6,81.4,6.2,4.2,6.6,13.4,89.6,68.4,0.0
2021-04-28,6.48848,1.377,5.301,1.1742,6.11592,4.53816,3.7918848,65.6,69.3,4.8,7.4,11.7,15.2,72.7,65.3,0.5
2021-05-07,6.0104,1.2258,4.2693,1.6104,4.82264,4.33056,3.585204,74.0,84.8,5.8,5.0,9.7,12.4,93.2,72.5,0.0
2021-05-18,3.5244,1.7334,3.69256,1.4112,3.23548,3.56616,2.9146754,77.8,85.0,6.7,6.8,13.6,25.3,93.2,78.1,0.47
2021-06-09,2.44378,1.55136,2.13408,1.03776,2.07386,1.7622,2.053408,75.5,87.1,6.7,5.3,7.8,12.8,95.0,76.1,0.0
2021-06-26,2.33168,1.62816,1.96992,1.1592,2.26628,1.8512,1.913856,78.7,83.3,5.9,4.9,11.7,21.0,91.4,78.3,0.3
2021-08-30,7.7442816,1.271808,9.0206,1.26324,5.655288,5.62368,7.262304,75.9,87.4,6.7,4.4,13.6,18.3,95.0,74.5,0.0
2021-09-10,8.61322,1.2256,8.60256,1.7616,6.8944,6.87828,8.6114466,78.2,88.7,6.1,3.4,7.8,13.6,97.7,79.0,0.0
2021-09-27,4.67728,1.323,4.49608,1.22148,6.47744,4.86752,4.215456,76.1,88.5,5.9,3.6,5.8,0.0,98.6,75.6,0.0
2021-10-07,5.46924,1.51008,3.8227,1.37388,4.2676,3.3616,4.300747,71.0,88.3,6.7,7.2,13.6,20.6,96.8,74.3,0.01
2021-10-26,2.5584,1.8408,2.55294,1.3608,2.358,1.67022,1.9553946,62.2,76.1,6.7,3.3,7.8,12.0,84.9,61.0,0.0
2021-11-15,8.1753,1.19568,5.59548,1.3386,4.655,4.284,3.431484,53.0,67.5,6.7,3.9,6.0,10.7,76.6,56.5,0.0
2021-12-01,3.315,1.32192,3.3116,1.50516,3.6977,3.4128,3.85836,30.1,59.2,6.7,10.7,17.5,23.3,71.4,45.3,0.0
2022-03-30,8.1081,1.30536,9.5778,1.3780799999999997,7.6588,9.188400000000001,7.814976,68.0,73.0,6.0,2.7,5.8,0.0,81.5,60.4,0.0
2022-04-07,6.283600000000002,1.18494,3.68508,1.62504,4.50812,3.6643199999999996,3.8583624000000007,54.9,76.6,6.5,5.2,11.7,17.1,87.8,60.8,99.99
2022-04-17,8.6862,1.38039,10.3014,1.53,7.987,8.778,7.842744,59.4,63.4,6.4,5.8,9.7,0.0,75.0,59.7,0.06
2022-04-28,5.277699999999999,1.4418000000000002,4.5279,1.59444,4.8681,4.8144,4.653919999999999,76.9,83.3,6.7,7.0,11.7,0.0,91.4,74.3,0.06
2022-05-10,9.0598,1.38039,8.817300000000001,1.365,7.5795,8.059800000000001,6.904296,75.9,77.5,5.7,4.8,9.7,0.0,83.1,70.7,0.72
2022-05-16,6.064,1.13475,6.84,1.0488,6.415720000000001,5.454959999999999,3.2271360000000002,60.2,67.9,6.3,8.2,15.5,0.0,75.9,58.8,0.1
2022-05-23,4.41632,1.2804,3.967040000000001,1.7135999999999998,3.4201440000000005,3.3178560000000004,3.4505702400000002,74.9,76.2,4.7,4.7,7.8,0.0,82.8,72.0,0.06
2022-06-03,3.8092,1.3608,3.8022400000000003,1.37088,3.06338,3.5991800000000005,3.4555430000000005,79.9,83.8,6.6,7.2,17.5,0.0,93.2,77.7,0.38
2022-06-16,2.3541000000000003,1.4745599999999999,2.052,1.18128,2.00972,1.4951999999999999,2.212896,78.8,81.2,4.9,4.5,11.7,0.0,87.8,73.6,0.14
2022-09-04,3.939,1.1664,4.05184,1.2610800000000002,3.3387000000000002,3.7288,3.9974000000000003,66.8,86.5,6.7,8.5,15.5,0.0,93.2,74.1,0.0
