Date,NPK,PK,NK,CK,DI,CR,OF,Dew Point Temperature (F),Average Temperature (F),Visibility (mi),Average Wind Speed ​​(knots),Maximum Sustained Wind Speed ​​(knots),Maximum Gust (knots),Maximum Temperature (F),Minimum Temperature (F),Precipitation (in)
2022-04-28,4.603354,2.3643,4.523904,2.4084000000000003,4.158336,3.76515216,4.49100288,76.9,83.3,6.7,7.0,11.7,0.0,91.4,74.3,0.06
2022-05-10,8.144215793999999,1.9655999999999998,6.243552,3.254472,5.780440776,7.196862529500001,8.47085897196,75.9,77.5,5.7,4.8,9.7,0.0,83.1,70.7,0.72
2022-05-16,5.7257088,2.16,5.1667168000000006,2.81316,4.75496,6.3148377600000005,4.302287808,60.2,67.9,6.3,8.2,15.5,0.0,75.9,58.8,0.1
2022-05-23,4.48224,1.8799500000000002,4.916480000000001,2.50584,4.044320000000001,3.90852,3.3740179200000004,74.9,76.2,4.7,4.7,7.8,0.0,82.8,72.0,0.06
2022-06-03,3.838464,2.6179,3.9081840000000003,2.61144,4.449885999999999,4.3627248,4.236740200000001,79.9,83.8,6.6,7.2,17.5,0.0,93.2,77.7,0.38
2022-09-04,10.77000287,1.8791460000000002,11.5210368,2.2060584000000003,8.13970944,9.11497227498,11.9348489664,66.8,86.5,6.7,8.5,15.5,0.0,93.2,74.1,0.0
2022-09-09,4.7172041280000006,1.8434519999999999,5.12981,2.3351328,5.2921772,4.54717616832,3.5014429224,76.4,85.5,6.7,4.0,9.7,0.0,94.6,74.5,0.0
2022-09-21,9.64624608,3.3993225000000002,10.401998400000002,2.1855744,9.44034336,9.3439235043,8.159153904,74.8,84.6,6.7,4.9,7.8,0.0,93.4,74.1,0.0
2022-09-28,8.144215793999999,1.9655999999999998,6.243552,3.254472,5.780440776,7.196862529500001,8.47085897196,74.4,87.0,6.7,5.3,9.7,0.0,96.8,73.9,0.0
2022-10-10,9.220950144,1.475565,10.749182280000001,2.3409888000000003,7.71621517,9.741941554519999,7.242861560000001,48.3,72.9,6.7,12.6,21.4,27.2,86.2,61.5,0.0
2022-10-25,5.2884249599999995,2.6331713100000003,6.12018396,2.0501812800000003,3.9107116062000005,4.1226095988,5.530712721408,64.7,77.9,6.7,5.4,9.7,0.0,88.7,63.3,0.0
2023-04-07,6.737010000000001,1.65,6.741112,2.7720000000000002,4.252248000000001,4.6769856,4.610897200000001,55.8,70.3,6.7,9.1,15.5,0.0,83.5,60.8,0.0
2023-04-17,12.7204,2.6352,11.228447999999998,2.29896,10.830960000000001,9.768191999999999,11.8831104,72.9,82.8,6.2,7.9,13.6,0.0,91.4,66.7,0.0
2023-04-26,7.364210000000001,2.5431000000000004,8.2516,2.39976,6.745648,7.8400882,7.82495168,59.3,70.1,6.7,5.4,13.6,0.0,78.8,57.4,0.0
2023-05-04,4.798080000000001,2.6736,4.408068,2.1650400000000003,3.888976,4.9340340000000005,3.81306618,75.3,83.9,6.7,8.1,13.6,19.4,93.2,76.1,0.0
2023-05-11,8.763408000000002,1.6387500000000002,9.409874,2.00208,8.033622,8.34546678,6.72303896,68.7,69.8,4.7,4.0,7.8,0.0,79.2,68.0,0.33
2023-05-18,6.0357024,2.58204177,5.83684211,2.6576424000000003,4.6349174592,4.835159406000001,5.045562482688,78.5,84.5,5.3,4.7,21.4,0.0,95.9,74.8,1.54
2023-06-07,3.49525338,1.391586,3.62962112,1.450652,3.0320025599999996,2.8204552032,3.5608229376,79.9,81.7,6.4,5.1,9.7,0.0,91.4,76.6,1.68
2023-09-07,9.260396236799998,3.2633496,10.089938448000002,2.141862912,8.968326192000001,9.437362739343,7.832787747839999,78.0,78.5,4.0,5.8,9.7,0.0,85.3,75.2,6.79
2023-09-17,14.10437952,2.769156,10.7243136,2.1092400000000002,12.43084752,9.871979040000001,13.509611136000002,77.8,85.3,6.7,4.0,7.8,0.0,95.0,75.0,0.0
2023-09-22,7.52079636,2.05524,9.703881599999999,3.05424,5.6040768,8.800099000000001,6.16967344,78.2,86.3,5.6,4.5,7.8,0.0,93.2,80.6,99.99
2023-09-27,8.5514265837,2.024568,6.368423040000001,3.28701672,5.4914187372,6.9089880283200005,8.1320246130816,77.5,87.6,6.7,3.6,7.8,0.0,96.8,76.5,0.14
2023-10-08,5.43942336,2.1816,5.218383968,2.7850284,4.6598608,6.0622442496,4.13019629568,64.8,73.9,6.7,14.6,17.5,27.2,78.8,67.1,0.06
2023-10-21,3.6849254399999998,2.670258,4.02542952,2.6897832,4.583382579999999,4.580861039999999,4.363842406000001,59.1,63.6,6.6,8.3,15.5,0.0,75.9,59.9,0.05
