Date,NPK,PK,NK,CK,OF,Dew Point Temperature (F),Average Temperature (F),Visibility (mi),Average Wind Speed (knots),Maximum Sustained Wind Speed (knots),Maximum Gust (knots),Maximum Temperature (F),Minimum Temperature (F),Precipitation (in)
2019-12-09,1.115,0.781466666666667,1.1238,0.9245,1.2257,-2.201390123800862,-1.394339896036834,0.3605991771613726,-1.249812101953515,-1.270997840866631,-0.928858236471253,-1.290208407583541,-1.875256744994199,-0.1403215248112398
2019-12-24,2.0935,0.840333333333333,1.158,2.7384,1.72242,-0.5543766854430392,-1.039257285326582,-1.696546406874321,-0.344854642185112,-0.3602450031798421,-0.9233299254388281,-0.8996412489515703,-0.7319233460253644,-0.1403215248112398
2020-01-04,4.338,1.1832,5.5625,3.1095,4.53096,-0.5923263038383807,-0.5476044397277734,-3.982263722469535,-1.485887961023533,-1.787911613607782,1.098598646605484,-0.4273274757222097,-1.046121837345044,-0.1403215248112398
2020-02-06,1.294,0.907333333333333,1.8735,1.0979,0.84847,-0.6606356169499958,-1.203141567192852,-0.6679736148564734,-1.171120148930176,-1.320227723984836,-0.9204633937923855,-1.617194865973098,-0.8890225916852046,-0.1403215248112398
2020-03-08,5.191,1.234,3.6545,3.2792,1.7064,0.1818459114265866,-0.07416095878077121,-0.09654428595766974,1.504406253863364,1.067421607248098,-0.8950741134953227,-0.6362354908044265,-0.007521268816103111,-0.1403215248112398
2020-06-10,1.129,0.625333333333333,2.55484,0.0714099999999998,1.9507995,0.8497591951845971,0.6815276742692508,-0.3251160175171914,-0.9350442898601575,0.1320538280022063,-0.8985549019231458,0.6898762571087769,0.72560854426315,-0.1138028113494396
2020-07-11,3.878,1.40926666666667,4.404,3.0175,3.81168,0.7738599583939141,1.209599249171677,0.817742640280416,1.504406253863364,0.5997377176251524,-0.9018309380905088,1.162190030338137,1.467466093212394,-0.1403215248112398
2020-08-26,5.6685,0.944666666666667,1.71325,0.5435,1.73448,0.7738599583939141,0.7907838621800976,0.1320274456018509,-0.58093050125513,0.5997377176251524,-0.9057212310392523,1.162190030338137,0.8390691105730341,0.03785108126023028
2020-09-24,2.6255,1.336,7.38125,4.635,0.999049999999997,0.2122056061428591,0.2445029226258647,0.817742640280416,0.1666430524665941,0.1320538280022063,-0.9145255782390401,0.5536318994464614,0.638331185563239,-0.1394928150155585
2020-10-18,6.157,0.88575,2.9432625,2.654,2.17541375,-0.524016990726766,-0.183417146691618,0.817742640280416,2.133941878050079,1.067421607248098,-0.9061307355601727,-0.3092490324148699,-0.05988768403604923,-0.1403215248112398
