Date,NPK,NK,PK,CK,OF,Dew Point Temperature (F),Average Temperature (F),Visibility (mi),Average Wind Speed ​​(knots),Maximum Sustained Wind Speed ​​(knots),Maximum Gust (knots),Maximum Temperature (F),Minimum Temperature (F),Precipitation (in)
2022-09-21,0.830633400828,0.509203154450232,0.168464071776,0.1747728215632,0.366844477868544,74.8,84.6,6.7,4.9,7.8,0.0,93.4,74.1,0.0
2022-09-28,0.8235001929,0.6885638619552,0.13157299584,0.18072019355264,0.53275336048935,74.4,87.0,6.7,5.3,9.7,0.0,96.8,73.9,0.0
2022-10-10,0.565573,0.4565619097,0.1135233792,0.1105303297,0.3817087536,48.3,72.9,6.7,12.6,21.4,27.2,86.2,61.5,0.0
2022-10-25,0.801229968,0.9166818336,0.06952473,0.121582881,0.287427250176,64.7,77.9,6.7,5.4,9.7,0.0,88.7,63.3,0.0
2022-11-01,0.657968136,0.6097034328,0.12850292,0.19029924,0.2954954496,56.1,76.1,6.7,15.4,23.3,33.0,82.4,67.5,0.01
2022-12-01,0.9343611,0.44606688,0.123763458,0.1146156,0.3949506288,43.0,50.8,6.7,12.5,17.5,0.0,63.9,46.0,0.0
2023-01-04,0.3632643,0.2772,0.1677252,0.10745784,0.1165397625,51.6,59.9,6.6,3.6,7.8,0.0,66.7,51.4,0.0
2023-02-18,0.46905642,0.520232773005,0.10161668088,0.1363902939,0.213758946336,60.5,71.2,5.8,3.2,7.8,0.0,82.4,53.4,0.0
2023-03-30,0.51737287875,0.4696637904,0.1289662992,0.1144597392,0.33251761818,63.1,63.5,4.4,4.0,7.8,0.0,66.2,59.7,1.18
2023-04-07,0.541030373004,0.588423825,0.11756745,0.09144225,0.103203315,55.8,70.3,6.7,9.1,15.5,0.0,83.5,60.8,0.0
2023-04-11,0.4690872,0.6363187875,0.15329655,0.1174624875,0.12076209,70.2,75.9,6.6,3.3,7.8,0.0,82.4,63.3,0.0
2023-04-17,0.37469622,0.307944,0.1331748,0.1010394,0.11971638,72.9,82.8,6.2,7.9,13.6,0.0,91.4,66.7,0.0
2023-04-26,0.32765202,0.28879011,0.1371168,0.208449,0.1857954186,59.3,70.1,6.7,5.4,13.6,0.0,78.8,57.4,0.0
2023-05-04,0.698122728576,0.5029676546895,0.1134421730442,0.1658823705,0.2952740954592,75.3,83.9,6.7,8.1,13.6,19.4,93.2,76.1,0.0
2023-05-11,0.58733543232,0.50632047648,0.138388562208,0.16768203912,0.4163309242092,68.7,69.8,4.7,4.0,7.8,0.0,79.2,68.0,0.33
2023-05-18,0.3807183744,0.33636882312,0.1253250999,0.069198630354,0.4269190266432,78.5,84.5,5.3,4.7,21.4,0.0,95.9,74.8,1.54
2023-06-07,0.46736376624,0.7086938259975,0.099806760144,0.1108463419008,0.30746462983236,79.9,81.7,6.4,5.1,9.7,0.0,91.4,76.6,1.68
2023-06-28,0.37752437232,0.42934404519,0.132804996597,0.109799781696,0.2298041220384,78.1,83.7,6.7,4.9,11.7,21.4,92.7,77.0,0.07
2023-07-21,0.4537523853324,0.67791254076,0.07946094840138,0.13476041381088,0.358840529999952,77.3,89.3,6.7,4.5,7.8,13.6,96.8,77.4,0.0
2023-08-16,0.28991138904,0.404004754944,0.126516765375,0.1750660272,0.3057602522814,79.6,88.6,6.7,4.1,7.8,0.0,95.0,78.3,0.0
2023-08-24,0.69020217,0.38796290874,0.251158114584,0.201703144032,0.1746488646144,79.2,83.4,6.5,4.7,9.7,0.0,89.6,78.1,0.54
2023-08-31,0.5160151338,0.47087860113,0.127480250898,0.091447307424,0.28139769734949,73.1,84.0,6.7,10.8,19.4,0.0,91.4,76.1,0.0
2023-09-07,0.45382899996,0.60103586088,0.121838476752,0.0882500087529,0.3125758081446,78.0,78.5,4.0,5.8,9.7,0.0,85.3,75.2,6.79
2023-09-17,0.45047366496,0.441023798664,0.117464138064,0.1145286702,0.142160954472,77.8,85.3,6.7,4.0,7.8,0.0,95.0,75.0,0.0
2023-09-22,0.3571957116,0.3583822252446,0.11115634390848,0.09055289282364,0.277776346655808,78.2,86.3,5.6,4.5,7.8,0.0,93.2,80.6,99.99
2023-09-27,0.338195801475,0.437573930976,0.14747459562,0.209222317584,0.32087774223225,77.5,87.6,6.7,3.6,7.8,0.0,96.8,76.5,0.14
2023-10-08,0.464211162,0.59813966025,0.1691180127,0.093383199,0.14380565472,64.8,73.9,6.7,14.6,17.5,27.2,78.8,67.1,0.06
2023-10-30,0.6504363936,0.3899615055426,0.3178635493176,0.19119130710264,0.174777047267328,65.2,76.1,6.1,5.7,11.7,0.0,86.0,64.8,0.0
2023-11-06,0.496591545273,0.43344855722385,0.10747657414494,0.10423005061392,0.341506566309092,58.9,78.6,7.2,9.7,19.4,0.0,86.7,65.1,0.0
2023-11-12,0.53633033500536,0.46811446857,0.1134477137304,0.083776344942852,0.294311574649092,56.2,69.1,6.7,13.5,17.5,0.0,78.1,61.0,0.0
2023-11-18,0.4912812793152,0.41237748220032,0.1115909311608,0.10938656664,0.15748961391072,42.4,65.2,6.7,5.7,13.6,0.0,76.5,46.0,0.0
2023-11-25,0.41270392518264,0.347630758487262,0.0943439468923224,0.097225211242224,0.326568365807524,59.0,70.5,5.9,4.0,5.8,0.0,82.4,57.6,0.0
2023-12-07,0.313374091275,0.42856755492096,0.1386261198828,0.20700199911168,0.36305024549706,47.4,64.2,6.7,3.2,5.8,0.0,77.0,49.1,0.0
2023-12-14,0.430140618,0.6947328521925,0.15475893615,0.09532003572,0.1731060568692,68.6,74.1,4.0,3.2,3.9,0.0,78.8,63.1,0.0
2023-12-21,0.335763968904,0.323862578831889,0.099506304018072,0.0955857272879434,0.28408670061788,28.6,45.8,6.7,15.1,19.4,25.3,58.3,38.7,0.0
