Date,NPK,PK,NK,CK,OF,Dew Point Temperature (F),Average Temperature (F),Visibility (mi),Average Wind Speed (knots),Maximum Sustained Wind Speed (knots),Maximum Gust (knots),Maximum Temperature (F),Minimum Temperature (F),Precipitation (in)
2019-08-19,3.386,1.518,3.728,1.332,3.9249037354555463,0.9356223175965664,0.8233009708737865,0.3780487804878049,0.09150326797385623,0.4673539518900344,0.9999999999999999,0.8125,0.8665338645418327,0.0004000400040004001
2019-08-27,3.156,1.584,3.619,1.221,3.9249037354555463,0.9370529327610871,0.8135922330097088,0.4878048780487804,0.09150326797385623,0.134020618556701,0.9999999999999999,0.7812500000000002,0.8565737051792829,0.0012001200120012
2019-09-03,3.467,2.202,3.234,1.83,3.9249037354555463,0.8755364806866951,0.7805825242718446,0.5975609756097561,0.3725490196078431,0.3333333333333333,0.007877196525954354,0.75,0.7988047808764939,0.003900390039003901
2019-09-18,2.274,1.688,1.746,1.022,3.9249037354555463,0.8111587982832617,0.8466019417475731,0.5853658536585366,0.4509803921568627,0.3333333333333333,0.009796000807917591,0.8125,0.8247011952191236,0.0015001500150015
2019-10-10,2.019,1.302,2.543,1.216,3.9249037354555463,0.854077253218884,0.7883495145631069,0.2439024390243902,0.07189542483660129,0.06529209621993126,0.9999999999999999,0.75,0.7768924302788845,0.0
2019-11-18,1.739,1.15,1.793,1.358,3.9249037354555463,0.5679542203147352,0.4912621359223303,0.548780487804878,0.7712418300653595,0.5326460481099655,0.0157543930519087,0.5625,0.4442231075697211,0.0
2020-04-07,13.641,3.651,13.065,3.347,13.44174,0.6323319027181686,0.4407766990291263,0.5609756097560975,0.04575163398692809,0.09965635738831616,0.002726721874368815,0.4618055555555556,0.4661354581673306,0.0
2020-04-13,6.433,3.329,3.976,2.381,5.78108,0.390557939914163,0.4873786407766992,0.6097560975609755,0.1241830065359477,0.1718213058419244,0.009190062613613414,0.515625,0.2609561752988049,0.0
2020-04-23,8.327,3.711,5.964,2.726,6.049,0.6380543633762518,0.4174757281553397,0.573170731707317,0.3660130718954249,0.268041237113402,0.00727125833165017,0.375,0.5418326693227092,0.0001000100010001
2020-05-27,4.429,1.911,3.234,1.781,4.50524,0.8125894134477826,0.7048543689320391,0.548780487804878,0.2418300653594771,0.2405498281786941,0.006867299535447386,0.8090277777777779,0.7808764940239045,0.003800380038003801
2020-06-02,11.165,2.407,9.933,2.19,9.1336,0.8884120171673818,0.7184466019417476,0.524390243902439,0.196078431372549,0.268041237113402,0.007877196525954354,0.6961805555555556,0.838645418326693,0.0004000400040004001
2020-06-09,4.688,1.568,4.022,1.437,4.1256,0.8941344778254648,0.6796116504854369,0.3902439024390243,0.1830065359477124,0.3333333333333333,0.0157543930519087,0.6875,0.7848605577689244,0.007500750075007501
2020-06-18,7.572,1.401,5.176,1.782,5.9202,0.9055793991416309,0.8174757281553399,0.6097560975609755,0.2483660130718954,0.3608247422680412,0.01888507372248031,0.8125,0.8306772908366534,0.0001000100010001
2020-06-29,4.774,1.742,3.152,1.443,2.71014,0.8969957081545062,0.8815533980582525,0.5975609756097561,0.2026143790849673,0.2920962199312715,0.007877196525954354,0.875,0.900398406374502,0.0
2020-07-14,4.191,1.877,3.142,1.646,3.864,0.871244635193133,0.9553398058252428,0.5975609756097561,0.1895424836601307,0.1993127147766323,0.01181579478893153,0.9375000000000002,0.8924302788844621,0.0
2020-08-26,3.116,1.669,2.802,1.482,2.36985,0.8955650929899855,0.7902912621359223,0.548780487804878,0.1568627450980392,0.3333333333333333,0.01141183599272874,0.875,0.8207171314741036,0.0215021502150215
2020-09-24,2.131,1.317,4.37,1.625,1.818,0.7896995708154505,0.6737864077669903,0.6219512195121951,0.2810457516339869,0.268041237113402,0.007069278933548776,0.7586805555555556,0.7749003984063746,0.0001000100010001
2020-10-08,13.398,1.66208,11.62161,1.26456,7.434098,0.6638054363376251,0.5825242718446603,0.6219512195121951,0.5947712418300654,0.3986254295532645,0.01353261967279338,0.5625,0.6812749003984065,0.0
2020-10-25,4.54736,1.58368,4.78618,1.40826,4.230268,0.6208869814020028,0.6233009708737866,0.6219512195121951,0.09803921568627451,0.07903780068728525,0.002120783680064634,0.6250000000000002,0.5876494023904383,0.0
2020-11-13,7.49628,1.24689,5.74536,1.81764,5.107564,0.5250357653791129,0.6310679611650486,0.6097560975609755,0.5032679738562091,0.3986254295532645,0.007675217127852961,0.6250000000000002,0.4900398406374503,0.0
2020-11-27,4.5353,1.79426,3.4672,1.42857,3.092748,0.580829756795422,0.4427184466019419,0.6219512195121951,0.7124183006535948,0.3986254295532645,0.01181579478893153,0.6163194444444446,0.4661354581673306,0.0
2020-12-11,4.98729,1.65176,3.11058,1.3991,3.772272,0.636623748211731,0.4990291262135923,0.5853658536585366,0.3202614379084968,0.268041237113402,0.006261361341143206,0.5225694444444444,0.5697211155378487,0.0001000100010001
2020-12-29,3.2718,1.78583,3.27834,1.39308,2.6366274,0.5679542203147352,0.4466019417475727,0.4390243902439024,0.5424836601307189,0.7353951890034364,0.03100383760856392,0.59375,0.3187250996015937,0.0
2021-03-02,3.59383333333333,1.06324242424242,4.03901885521886,0.974665151515152,1.40296363636364,0.5035765379113017,0.3844660194174757,0.6219512195121951,0.5555555555555556,0.3986254295532645,0.01787517673197334,0.5243055555555556,0.4701195219123507,0.0
2021-03-21,5.429675488,1.08166686,6.9886152,1.080735738,5.17051773,0.5236051502145922,0.3029126213592234,0.6097560975609755,0.7843137254901962,0.4673539518900344,0.01706725913956777,0.6875,0.4402390438247014,0.0
