Date,NPK,PK,NK,CK,OF,Dew Point Temperature (F),Average Temperature (F),Visibility (mi),Average Wind Speed (knots),Maximum Sustained Wind Speed (knots),Maximum Gust (knots),Maximum Temperature (F),Minimum Temperature (F),Precipitation (in)
2019-12-09,3.684,2.319,3.8115,2.472,3.62148,0.3347639484978541,0.3242718446601941,0.573170731707317,0.04575163398692809,0.07216494845360827,0.0,0.40625,0.201195219123506,0.0
2019-12-24,5.5305,2.5245,5.322,2.634615,4.571028,0.6452074391988555,0.4,0.3536585365853658,0.196078431372549,0.1993127147766323,0.002726721874368815,0.4809027777777777,0.4621513944223109,0.0
2020-01-04,8.505,2.8395,10.701,2.27175,6.89022,0.6380543633762518,0.5048543689320387,0.1097560975609756,0.006535947712418291,0.0,0.9999999999999999,0.5711805555555556,0.3904382470119522,0.0
2020-02-06,3.972,2.304,4.5375,2.4519,3.35829,0.6251788268955649,0.3650485436893204,0.4634146341463414,0.05882352941176471,0.06529209621993126,0.004140577661078572,0.34375,0.4262948207171314,0.0
2020-03-08,9.822,2.769,8.6415,2.1525,5.53878,0.7839771101573676,0.6058252427184466,0.524390243902439,0.5032679738562091,0.3986254295532645,0.01666330034336497,0.53125,0.6274900398406374,0.0
2020-06-10,3.972,2.184,5.02284,2.784615,4.3968525,0.909871244635193,0.7669902912621359,0.5,0.09803921568627451,0.268041237113402,0.01494647545950313,0.7847222222222221,0.7948207171314742,0.0032003200320032
2020-07-11,8.526,3.2469,8.472,1.734,5.5305,0.8955650929899855,0.8796116504854371,0.6219512195121951,0.5032679738562091,0.3333333333333333,0.01333064027469198,0.875,0.9641434262948209,0.0
2020-08-26,2.8495,1.737,3.14775,1.436,2.37978,0.8955650929899855,0.7902912621359223,0.548780487804878,0.1568627450980392,0.3333333333333333,0.01141183599272874,0.875,0.8207171314741036,0.0215021502150215
2020-09-24,5.6115,3.816,9.52425,2.643,4.48335,0.7896995708154505,0.6737864077669903,0.6219512195121951,0.2810457516339869,0.268041237113402,0.007069278933548776,0.7586805555555556,0.7749003984063746,0.0001000100010001
2020-10-18,8.505,2.156625,5.1080625,2.2815,3.4289325,0.6509298998569384,0.5825242718446603,0.6219512195121951,0.6078431372549019,0.3986254295532645,0.01120985659462735,0.59375,0.6155378486055779,0.0
2020-11-12,7.734,4.4745,5.5305,3.234,5.908092,0.4763948497854077,0.5747572815533982,0.6219512195121951,0.4379084967320261,0.3986254295532645,0.006665320137345993,0.6250000000000002,0.4223107569721117,0.0
2020-12-14,7.7784,4.017,6.234,3.846,4.77225,0.4892703862660943,0.1650485436893204,0.6097560975609755,0.758169934640523,0.4673539518900344,0.01333064027469198,0.453125,0.2111553784860558,0.0003000300030003001
2021-01-26,4.70376,1.7190572,4.61584853333333,1.4795424,4.917094336,0.5765379113018597,0.4640776699029127,0.5121951219512194,0.3790849673202614,0.3333333333333333,0.008281155322157138,0.5659722222222223,0.4900398406374503,0.0
2021-02-24,6.2891715,1.4639776,6.62108,1.785285,4.778312448,0.6938483547925607,0.5650485436893206,0.548780487804878,0.2679738562091503,0.3986254295532645,0.9999999999999999,0.6788194444444444,0.5019920318725101,0.0
2021-03-21,4.689503,1.7187552,6.98728,1.65504,4.47768225,0.5236051502145922,0.3029126213592234,0.6097560975609755,0.7843137254901962,0.4673539518900344,0.01706725913956777,0.6875,0.4402390438247014,0.0
2021-04-28,8.39924876,2.01691672,6.95978055,1.935892,6.7754157728,0.7725321888412016,0.50873786407767,0.3902439024390243,0.3660130718954249,0.268041237113402,0.005554433447788325,0.4565972222222223,0.6235059760956175,0.005000500050005001
2021-05-18,4.70064025,2.21233376,7.10844029,1.58738276666666,3.543767274,0.9470672389127323,0.8135922330097088,0.6219512195121951,0.326797385620915,0.3333333333333333,0.0157543930519087,0.8125,0.8784860557768924,0.0047004700470047
2021-06-26,4.32948,1.98744,4.8219264,2.42261505,3.82526211,0.959942775393419,0.7805825242718446,0.524390243902439,0.2026143790849673,0.268041237113402,0.01141183599272874,0.7812500000000002,0.8824701195219123,0.003000300030003001
2021-07-02,8.35548,3.863811,8.55672,1.80336,4.4244,0.9384835479256078,0.8621359223300972,0.6219512195121951,0.3594771241830065,0.268041237113402,0.02767117753989093,0.8246527777777779,0.9183266932270916,0.0005000500050005
2021-08-30,2.62154,1.85859,3.3680925,1.53652,2.0704086,0.9198855507868383,0.8601941747572818,0.6219512195121951,0.1699346405228758,0.3333333333333333,0.008685114118359928,0.84375,0.8067729083665339,0.0
2021-09-10,4.1995956,1.7688216,4.773707136,2.083448943,4.5138092898,0.9527896995708153,0.8854368932038837,0.548780487804878,0.1045751633986928,0.134020618556701,0.003938598262977176,0.890625,0.896414342629482,0.0
2021-09-27,6.17265,3.31992,9.90522,2.24655,4.393683,0.9227467811158797,0.8815533980582525,0.524390243902439,0.1176470588235294,0.06529209621993126,0.9999999999999999,0.90625,0.8286852589641432,0.0
2021-10-26,9.8658,2.329155,4.90374,1.848015,3.05175037,0.7238912732474964,0.6407766990291263,0.6219512195121951,0.09803921568627451,0.134020618556701,0.002322763078166028,0.6684027777777779,0.5378486055776893,0.0
2021-11-15,9.2808,4.56399,5.41989,3.7191,5.25820188,0.5922746781115878,0.4737864077669903,0.6219512195121951,0.1372549019607843,0.07216494845360827,0.001009896990506968,0.5243055555555556,0.448207171314741,0.0
2021-12-01,8.322888,4.49904,6.60804,3.80754,4.00869,0.2646638054363376,0.312621359223301,0.6219512195121951,0.5816993464052287,0.4673539518900344,0.01373459907089477,0.4340277777777779,0.2250996015936255,0.0
