Date,NPK,PK,NK,CK,OF,Dew Point Temperature (F),Average Temperature (F),Visibility (mi),Average Wind Speed (knots),Maximum Sustained Wind Speed (knots),Maximum Gust (knots),Maximum Temperature (F),Minimum Temperature (F),Precipitation (in)
2020-06-18,0.338,0.304,0.06,0.043,0.16498,0.9055793991416309,0.8174757281553399,0.6097560975609755,0.2483660130718954,0.3608247422680412,0.01888507372248031,0.8125,0.8306772908366534,0.0001000100010001
2020-06-29,0.089,0.075,0.041,0.044,0.06496,0.8969957081545062,0.8815533980582525,0.5975609756097561,0.2026143790849673,0.2920962199312715,0.007877196525954354,0.875,0.900398406374502,0.0
2020-07-14,0.115,0.083,0.043,0.033,0.0549,0.871244635193133,0.9553398058252428,0.5975609756097561,0.1895424836601307,0.1993127147766323,0.01181579478893153,0.9375000000000002,0.8924302788844621,0.0
2020-08-26,0.1265,0.0913,0.07104,0.07192,0.079849,0.8955650929899855,0.7902912621359223,0.548780487804878,0.1568627450980392,0.3333333333333333,0.01141183599272874,0.875,0.8207171314741036,0.0215021502150215
2020-09-24,0.11638,0.097691,0.087,0.089,0.07387039,0.7896995708154505,0.6737864077669903,0.6219512195121951,0.2810457516339869,0.268041237113402,0.007069278933548776,0.7586805555555556,0.7749003984063746,0.0001000100010001
2020-10-08,0.877,0.853,0.112,0.101,0.71487,0.6638054363376251,0.5825242718446603,0.6219512195121951,0.5947712418300654,0.3986254295532645,0.01353261967279338,0.5625,0.6812749003984065,0.0
2020-10-25,0.828,0.989,0.103,0.081,0.52332,0.6208869814020028,0.6233009708737866,0.6219512195121951,0.09803921568627451,0.07903780068728525,0.002120783680064634,0.6250000000000002,0.5876494023904383,0.0
2020-11-13,0.5203,0.46053,0.12,0.11,0.2445552,0.5250357653791129,0.6310679611650486,0.6097560975609755,0.5032679738562091,0.3986254295532645,0.007675217127852961,0.6250000000000002,0.4900398406374503,0.0
2020-11-27,0.4278,0.3819,0.103,0.08,0.30503,0.580829756795422,0.4427184466019419,0.6219512195121951,0.7124183006535948,0.3986254295532645,0.01181579478893153,0.6163194444444446,0.4661354581673306,0.0
2020-12-11,0.2873,0.29792,0.108,0.093,0.1371816,0.636623748211731,0.4990291262135923,0.5853658536585366,0.3202614379084968,0.268041237113402,0.006261361341143206,0.5225694444444444,0.5697211155378487,0.0001000100010001
2020-12-29,0.09523,0.07875,0.116,0.098,0.049184,0.5679542203147352,0.4466019417475727,0.4390243902439024,0.5424836601307189,0.7353951890034364,0.03100383760856392,0.59375,0.3187250996015937,0.0
2021-03-02,0.9,1.15333333333333,0.13,0.15,0.2445552,0.5035765379113017,0.3844660194174757,0.6219512195121951,0.5555555555555556,0.3986254295532645,0.01787517673197334,0.5243055555555556,0.4701195219123507,0.0
2021-03-21,0.76176,0.91977,0.09991,0.08019,0.4814544,0.5236051502145922,0.3029126213592234,0.6097560975609755,0.7843137254901962,0.4673539518900344,0.01706725913956777,0.6875,0.4402390438247014,0.0
2021-04-13,0.473473,0.4513194,0.1176,0.1045,0.227436336,0.8297567954220313,0.7436893203883498,0.5609756097560975,0.1568627450980392,0.09278350515463918,0.003736618864875784,0.75,0.6852589641434265,0.0
2021-04-28,0.40641,0.3819,0.09991,0.0768,0.2928288,0.7725321888412016,0.50873786407767,0.3902439024390243,0.3660130718954249,0.268041237113402,0.005554433447788325,0.4565972222222223,0.6235059760956175,0.005000500050005001
2021-05-07,0.573333333333333,0.593333333333333,0.14,0.153333333333333,0.23765,0.8927038626609441,0.8097087378640778,0.5121951219512194,0.2091503267973856,0.1993127147766323,0.002726721874368815,0.8125,0.7669322709163348,0.0
2021-05-18,0.496666666666666,0.466666666666667,0.13,0.095,0.2585,0.9470672389127323,0.8135922330097088,0.6219512195121951,0.326797385620915,0.3333333333333333,0.0157543930519087,0.8125,0.8784860557768924,0.0047004700470047
2021-06-09,0.264316,0.2800448,0.09936,0.0837,0.126207072,0.9141630901287553,0.8543689320388349,0.6219512195121951,0.2287581699346405,0.134020618556701,0.003130680670571604,0.84375,0.838645418326693,0.0
2021-06-26,0.278681,0.2919616,0.10476,0.09021,0.133066152,0.959942775393419,0.7805825242718446,0.524390243902439,0.2026143790849673,0.268041237113402,0.01141183599272874,0.7812500000000002,0.8824701195219123,0.003000300030003001
2021-08-30,0.70343,0.82269,0.06399,0.03696,0.8277024,0.9198855507868383,0.8601941747572818,0.6219512195121951,0.1699346405228758,0.3333333333333333,0.008685114118359928,0.84375,0.8067729083665339,0.0
2021-09-10,0.801,1.1187333301,0.1287,0.1665,0.20787192,0.9527896995708153,0.8854368932038837,0.548780487804878,0.1045751633986928,0.134020618556701,0.003938598262977176,0.890625,0.896414342629482,0.0
2021-09-27,0.42139097,0.365568714,0.109368,0.11495,0.2206132498,0.9227467811158797,0.8815533980582525,0.524390243902439,0.1176470588235294,0.06529209621993126,0.9999999999999999,0.90625,0.8286852589641432,0.0
2021-10-07,0.509894,0.4651353,0.1128,0.1067,0.239664096,0.8497854077253219,0.8776699029126215,0.6219512195121951,0.3529411764705883,0.3333333333333333,0.01100787719652596,0.875,0.802788844621514,0.0001000100010001
2021-10-26,0.51084,0.38313,0.06272,0.05742,0.194922,0.7238912732474964,0.6407766990291263,0.6219512195121951,0.09803921568627451,0.134020618556701,0.002322763078166028,0.6684027777777779,0.5378486055776893,0.0
2021-11-15,0.4922,0.35376,0.14448,0.089,0.236457,0.5922746781115878,0.4737864077669903,0.6219512195121951,0.1372549019607843,0.07216494845360827,0.001009896990506968,0.5243055555555556,0.448207171314741,0.0
2021-12-01,0.24845704,0.285645696,0.1102896,0.082863,0.1299932821,0.2646638054363376,0.312621359223301,0.6219512195121951,0.5816993464052287,0.4673539518900344,0.01373459907089477,0.4340277777777779,0.2250996015936255,0.0
2022-03-30,0.867,0.965,0.13,0.109,0.236,0.8068669527896994,0.5805825242718446,0.5365853658536585,0.05882352941176471,0.06529209621993126,0.9999999999999999,0.609375,0.5258964143426296,0.0
2022-04-07,0.555,0.72,0.0746,0.0801,0.36,0.619456366237482,0.6504854368932039,0.5975609756097561,0.2222222222222222,0.268041237113402,0.007473237729751567,0.71875,0.5338645418326692,1.0
2022-04-17,0.46,0.475,0.0963,0.109,0.174,0.6838340486409155,0.3941747572815534,0.5853658536585366,0.261437908496732,0.1993127147766323,0.9999999999999999,0.4965277777777779,0.5119521912350599,0.0006000600060006001
2022-04-28,0.362,0.357,0.0989,0.0719,0.224,0.9341917024320457,0.7805825242718446,0.6219512195121951,0.3398692810457516,0.268041237113402,0.9999999999999999,0.7812500000000002,0.802788844621514,0.0006000600060006001
