Date,NPK,PK,NK,CK,OF,Dew Point Temperature (F),Average Temperature (F),Visibility (mi),Average Wind Speed ​​(knots),Maximum Sustained Wind Speed ​​(knots),Maximum Gust (knots),Maximum Temperature (F),Minimum Temperature (F),Precipitation (in)
2022-05-23,1.17626,0.221,0.6,0.42448,0.3195264,74.9,76.2,4.7,4.7,7.8,0.0,82.8,72.0,0.06
2022-06-03,0.78015,0.25284,0.46552,0.29088,0.4845684,79.9,83.8,6.6,7.2,17.5,0.0,93.2,77.7,0.38
2022-09-04,0.6552,0.367221,0.907425,0.3466017,1.111829376,66.8,86.5,6.7,8.5,15.5,0.0,93.2,74.1,0.0
2022-09-09,1.7840364,0.26978,0.47988,0.29,0.693567,76.4,85.5,6.7,4.0,9.7,0.0,94.6,74.5,0.0
2022-09-21,1.0401336,0.359856,0.366336,0.2388933,0.55511742,74.8,84.6,6.7,4.9,7.8,0.0,93.4,74.1,0.0
2022-09-28,0.61452,0.071808,0.49159,0.2142288,0.308584782,74.4,87.0,6.7,5.3,9.7,0.0,96.8,73.9,0.0
2022-10-10,1.514649,0.4839824,1.9780876,0.631152,0.75993264,48.3,72.9,6.7,12.6,21.4,27.2,86.2,61.5,0.0
2022-10-25,0.80919,0.2430065,0.4254075,0.3330054,0.346553856,64.7,77.9,6.7,5.4,9.7,0.0,88.7,63.3,0.0
2022-11-01,0.4205376,0.26312,0.366336,0.32215,0.506252524,56.1,76.1,6.7,15.4,23.3,33.0,82.4,67.5,0.01
2023-04-07,2.6433595188,0.7448031661,2.6373448164,0.7211192751,2.052312946362,55.8,70.3,6.7,9.1,15.5,0.0,83.5,60.8,0.0
2023-04-17,3.2890046805,0.6738319476,3.4242211703,0.6942402054,2.91789722378,72.9,82.8,6.2,7.9,13.6,0.0,91.4,66.7,0.0
2023-04-26,2.49185475,0.82361328,2.53563072,0.8701392,1.905435,59.3,70.1,6.7,5.4,13.6,0.0,78.8,57.4,0.0
2023-05-04,1.340104675,0.640691415,1.3217806,0.56837053,1.159472223,75.3,83.9,6.7,8.1,13.6,19.4,93.2,76.1,0.0
2023-05-11,2.2509897732,0.34624515744,1.8686146752,0.4442084955,1.701286541955,68.7,69.8,4.7,4.0,7.8,0.0,79.2,68.0,0.33
2023-05-18,1.59704622,0.415824864,1.67023895248,0.388635975,1.1427780284445,78.5,84.5,5.3,4.7,21.4,0.0,95.9,74.8,1.54
2023-06-07,1.1503653777,0.60824530368,1.116296017214,0.53812780875,0.78426111456,79.9,81.7,6.4,5.1,9.7,0.0,91.4,76.6,1.68
2023-06-25,0.619421418,0.35098276395,0.6014184785,0.28637210875,0.500279052,78.0,82.5,6.6,6.0,15.5,23.3,91.4,74.1,0.13
2023-08-16,3.124554446475,0.600673050432,3.24951600855,0.67911814152,2.6912644297,79.6,88.6,6.7,4.1,7.8,0.0,95.0,78.3,0.0
2023-08-24,2.509691184,0.8107443225,2.383757005,0.8495640335,1.64629584,79.2,83.4,6.5,4.7,9.7,0.0,89.6,78.1,0.54
2023-08-31,1.283679215,0.5766222735,1.3312417664,0.5598742695,1.08645991272,73.1,84.0,6.7,10.8,19.4,0.0,91.4,76.1,0.0
2023-09-07,0.8791640858,0.26631696,0.5441776704,0.249242175,0.41020001505,78.0,78.5,4.0,5.8,9.7,0.0,85.3,75.2,6.79
2023-09-17,3.56364645525,1.0441670148,3.70355710725,0.8289367632,3.2214125962928,77.8,85.3,6.7,4.0,7.8,0.0,95.0,75.0,0.0
2023-09-22,2.5922412052992,0.391535520768,2.87396916777614,0.392409664238592,1.81986860518222,78.2,86.3,5.6,4.5,7.8,0.0,93.2,80.6,99.99
2023-09-27,1.783417675851,0.7654656443035,1.737085810208,0.725268255075,1.394919115296,77.5,87.6,6.7,3.6,7.8,0.0,96.8,76.5,0.14
2023-10-08,1.069105525488,0.3499678841862,1.046259526207,0.257377784895,0.8341444314112,64.8,73.9,6.7,14.6,17.5,27.2,78.8,67.1,0.06
