Date,Dew Point Temperature (F),Average Temperature (F),Visibility (mi),Average Wind Speed (knots),Maximum Sustained Wind Speed (knots),Maximum Gust (knots),Maximum Temperature (F),Minimum Temperature (F),Precipitation (in)
3/20/19,68.1,75.1,4.9,5.6,13.6,999.9,78.8,71.6,99.99
3/21/19,68.5,78.6,5.9,6.2,11.7,999.9,86,71.6,0
3/22/19,64,72.5,5.8,7.5,11.7,999.9,84.2,62.1,0.47
3/23/19,51.7,57.6,5.8,8.3,11.7,999.9,62.6,53.2,0.09
3/24/19,52.9,57,5.4,4.5,11.7,17.5,59,53.1,0.23
3/25/19,59.3,67.7,6.6,3.1,9.7,999.9,75.2,56.3,0.17
3/26/19,63.6,71.7,4.6,3,7.8,999.9,77,65.3,0
3/27/19,65.7,74.5,4.8,4.1,11.7,999.9,82.4,67.3,0
3/28/19,68.5,77.3,4.3,4.3,9.7,999.9,82.4,70.7,99.99
3/29/19,66.2,71.1,5.3,4.4,11.7,999.9,78.8,66.2,0.57
3/30/19,65.7,76.6,5.2,4,7.8,999.9,82.4,66.2,0
3/31/19,64.1,71.3,5.2,5.3,9.7,999.9,77,62.6,0.13
4/1/19,57.6,63.3,5.3,4.5,7.8,999.9,65.5,60.8,0
4/2/19,62.6,71.2,3.7,3.6,5.8,999.9,75.6,61.7,0
4/3/19,64.8,73.2,4.3,4.8,9.7,999.9,79.3,64.4,0.08
4/4/19,62.7,67.4,3.7,3.7,7.8,999.9,71.2,64.4,0.07
4/5/19,63.7,73.1,5.4,3.7,9.7,999.9,80.6,64.2,0
4/6/19,67.5,78.5,4.5,3.9,5.8,999.9,86,64,0
4/7/19,70.3,79.9,5.7,4.6,7.8,13.6,87.8,71.4,0
4/8/19,71.4,81.3,6.1,6.8,9.7,999.9,87.8,73.4,0
4/9/19,71.4,80.9,6.3,5.4,9.7,999.9,87.8,76.1,0
4/10/19,72,82.8,6.2,4.9,7.8,999.9,89.6,75.9,0
4/11/19,65,72,5.8,7,17.5,23.3,84.2,62.6,0.17
4/12/19,61.6,65,4.1,5.2,9.7,999.9,66.6,60.8,0.94
4/13/19,65.9,69.6,3.7,3.6,7.8,999.9,71.6,64.6,0.39
4/14/19,67.2,72.9,4.9,5,9.7,999.9,77,66.9,0.09
4/15/19,64,67.1,4.3,4.9,11.7,999.9,70.2,65.7,0.82
4/16/19,64.7,69.9,4.8,2.9,9.7,999.9,76.5,65.5,1.24
4/17/19,66.8,76.8,4.1,3.2,5.8,999.9,82.4,65.3,0.37
4/18/19,69.2,74,2.7,4.9,17.5,33,77,68,1.21
4/19/19,67.6,70.3,3.7,4.1,9.7,999.9,71.6,68.7,3.11
4/20/19,69.9,73.6,4,4.1,9.7,13.6,77,69.1,1.92
4/21/19,72.6,76.3,2.9,3.1,5.8,999.9,78.6,72,0.02
4/22/19,71.5,76.1,4.3,4.8,11.7,21.4,84.2,71.6,1.2
4/23/19,73.6,83,5.9,4.9,9.7,19.4,89.6,72.1,1.2
4/24/19,72.7,82.6,6.3,4.1,7.8,999.9,89.6,76.1,0
4/25/19,73,83.8,5.8,4.9,9.7,999.9,89.6,75.6,0
4/26/19,70.4,77.7,5,6,15.5,21.4,86,69.8,1.93
