Date,NPK,PK,NK,CK,OF,Dew Point Temperature (F),Average Temperature (F),Visibility (mi),Average Wind Speed ​​(knots),Maximum Sustained Wind Speed ​​(knots),Maximum Gust (knots),Maximum Temperature (F),Minimum Temperature (F),Precipitation (in)
2023-04-26,0.4232,0.437,0.089559,0.10028,0.298356,59.3,70.1,6.7,5.4,13.6,0.0,78.8,57.4,0.0
2023-05-04,0.32942,0.33915,0.091977,0.066148,0.20832,75.3,83.9,6.7,8.1,13.6,19.4,93.2,76.1,0.0
2023-05-11,0.614814564,0.63590436,0.08826165,0.13802208,0.563229576,68.7,69.8,4.7,4.0,7.8,0.0,79.2,68.0,0.33
2023-05-18,0.34028,0.33201,0.08901,0.065429,0.2016,78.5,84.5,5.3,4.7,21.4,0.0,95.9,74.8,1.54
2023-06-07,0.19065,0.20839,0.0504,0.0364,0.1304376,79.9,81.7,6.4,5.1,9.7,0.0,91.4,76.6,1.68
2023-06-25,0.104742,0.08889881,0.0783,0.08277,0.0694381666,78.0,82.5,6.6,6.0,15.5,23.3,91.4,74.1,0.13
2023-08-16,0.75051,0.7847,0.10434,0.15288,0.19344,79.6,88.6,6.7,4.1,7.8,0.0,95.0,78.3,0.0
2023-08-24,0.3819,0.35696,0.078678,0.09139,0.18715,79.2,83.4,6.5,4.7,9.7,0.0,89.6,78.1,0.54
2023-08-31,0.26026,0.25025,0.09282,0.08142,0.225788,73.1,84.0,6.7,10.8,19.4,0.0,91.4,76.1,0.0
2023-09-07,0.110561,0.08987572,0.03265,0.03455,0.066483351,78.0,78.5,4.0,5.8,9.7,0.0,85.3,75.2,6.79
2023-09-17,0.6829641,0.714077,0.0980685,0.1437408,0.5991804,77.8,85.3,6.7,4.0,7.8,0.0,95.0,75.0,0.0
2023-09-22,0.38088,0.40204,0.08239428,0.0912548,0.2834382,78.2,86.3,5.6,4.5,7.8,0.0,93.2,80.6,99.99
2023-09-27,0.3063606,0.3154095,0.08461884,0.06019468,0.187488,77.5,87.6,6.7,3.6,7.8,0.0,96.8,76.5,0.14
2023-10-08,0.171585,0.1938027,0.045864,0.033852,0.12391572,64.8,73.9,6.7,14.6,17.5,27.2,78.8,67.1,0.06
