Date,NPK,PK,NK,CK,MT,SF,CR,OF,Dew Point Temperature (F),Average Temperature (F),Visibility (mi),Average Wind Speed ​​(knots),Maximum Sustained Wind Speed ​​(knots),Maximum Gust (knots),Maximum Temperature (F),Minimum Temperature (F),Precipitation (in)
2022-03-30,0.76362,0.8211299999999999,0.12006000000000001,0.10918,0.52788,0.675745,0.655738,0.6779905,68.0,73.0,6.0,2.7,5.8,0.0,81.5,60.4,0.0
2022-04-07,0.45011999999999996,0.46257750000000003,0.21836,0.09976,0.374616,0.418704,0.43455456,0.4517172,54.9,76.6,6.5,5.2,11.7,17.1,87.8,60.8,99.99
2022-04-17,0.80356,0.88617,0.14076000000000002,0.11236,0.5215200000000001,0.80838,0.7217964,0.687123,59.4,63.4,6.4,5.8,9.7,0.0,75.0,59.7,0.06
2022-04-28,0.46720800000000007,0.45798750000000005,0.19656,0.12502000000000002,0.39385479999999995,0.24291709999999997,0.303030525,0.38481734,76.9,83.3,6.7,7.0,11.7,0.0,91.4,74.3,0.06
2022-05-10,0.766764,0.5182155,0.14013,0.12420000000000002,0.7765485,0.6952575,0.5922476560000001,0.65436,75.9,77.5,5.7,4.8,9.7,0.0,83.1,70.7,0.72
2022-05-16,0.50058,0.422145,0.21475999999999998,0.14497000000000002,0.305577,0.29049879999999995,0.39928728,0.438209016,60.2,67.9,6.3,8.2,15.5,0.0,75.9,58.8,0.1
2022-05-23,0.445005,0.44055,0.22042,0.10556000000000001,0.38738700000000004,0.475068,0.3558852,0.3340028,74.9,76.2,4.7,4.7,7.8,0.0,82.8,72.0,0.06
2022-06-03,0.269514,0.30187500000000006,0.132,0.16613999999999998,0.17223030000000003,0.1557455,0.19527939200000002,0.12166472,79.9,83.8,6.6,7.2,17.5,0.0,93.2,77.7,0.38
2022-06-16,0.189504,0.15892799999999999,0.11288000000000002,0.18216,0.15876,0.181104,0.1575252,0.22054031999999998,78.8,81.2,4.9,4.5,11.7,0.0,87.8,73.6,0.14
2022-09-04,0.24292800000000003,0.16488000000000003,0.12312000000000001,0.15345,0.172515,0.219672,0.16296917,0.20531196000000002,66.8,86.5,6.7,8.5,15.5,0.0,93.2,74.1,0.0
2022-09-09,0.9185747999999999,0.8950317000000001,0.12558000000000002,0.11702399999999999,0.6123408,0.7922124,0.60828312,0.837984672,76.4,85.5,6.7,4.0,9.7,0.0,94.6,74.5,0.0
2022-09-21,0.5184400800000001,0.5432328,0.154143,0.08204099999999999,0.90079626,0.6015438000000001,0.7482614266400001,0.6371503319999999,74.8,84.6,6.7,4.9,7.8,0.0,93.4,74.1,0.0
2022-09-28,0.295344,0.37422,0.15680000000000002,0.147,0.362712,0.267486,0.23527512,0.21590292000000003,74.4,87.0,6.7,5.3,9.7,0.0,96.8,73.9,0.0
2022-10-10,0.6147539999999999,0.422331,0.1419,0.1386,0.423612,0.395514,0.65163924,0.53054064,48.3,72.9,6.7,12.6,21.4,27.2,86.2,61.5,0.0
2022-10-25,0.39730800000000005,0.306504,0.23324,0.1275,0.34442400000000006,0.23313000000000003,0.2656332,0.25232028,64.7,77.9,6.7,5.4,9.7,0.0,88.7,63.3,0.0
2022-11-01,0.187262,0.182835,0.23954,0.15408,0.151152,0.14636000000000002,0.22672799999999999,0.18349885,56.1,76.1,6.7,15.4,23.3,33.0,82.4,67.5,0.01
2023-04-07,0.712956,0.6075630000000001,0.17819,0.10925000000000001,0.6951958,0.5667225,0.670346248,0.7067088000000001,55.8,70.3,6.7,9.1,15.5,0.0,83.5,60.8,0.0
2023-04-17,0.8208057000000001,0.740330808,0.1499232,0.081351184,0.6751979520000001,0.830502666,0.8192500185600001,0.82960482528,72.9,82.8,6.2,7.9,13.6,0.0,91.4,66.7,0.0
2023-04-26,0.57466584,0.50939616,0.16038,0.13041,0.59062878,0.45336942,0.582642144,0.5366987010000001,59.3,70.1,6.7,5.4,13.6,0.0,78.8,57.4,0.0
2023-05-04,0.32404455,0.316953,0.16093000000000002,0.1485,0.46096372500000005,0.34065225000000005,0.4872847275,0.365633415,75.3,83.9,6.7,8.1,13.6,19.4,93.2,76.1,0.0
2023-05-11,0.5514768468000001,0.50503674375,0.1764081,0.08243706,0.656294418,0.6241472640000001,0.770709273106,0.6553546272,68.7,69.8,4.7,4.0,7.8,0.0,79.2,68.0,0.33
2023-05-18,0.40141473120000004,0.407516928,0.1367982,0.15162335999999998,0.643383972,0.43031095379999995,0.5525900755200001,0.61339971924,78.5,84.5,5.3,4.7,21.4,0.0,95.9,74.8,1.54
2023-06-07,0.3470688,0.366031575,0.1612156,0.15361500000000003,0.36363663,0.19433367999999998,0.415686579,0.18724050068,79.9,81.7,6.4,5.1,9.7,0.0,91.4,76.6,1.68
2023-06-25,0.30483720000000003,0.40030847999999997,0.22438080000000002,0.14715000000000003,0.24871679999999996,0.18758376000000002,0.2057771856,0.24667558920000002,78.0,82.5,6.6,6.0,15.5,23.3,91.4,74.1,0.13
2023-08-16,0.7984548,0.8014554,0.154836,0.1113,0.6793752,0.7848771,0.7694200800000001,0.7325494650000001,79.6,88.6,6.7,4.1,7.8,0.0,95.0,78.3,0.0
2023-08-24,0.53741898,0.4938024000000001,0.13662,0.150696,0.53902044,0.4631193,0.61330752,0.5366987010000001,79.2,83.4,6.5,4.7,9.7,0.0,89.6,78.1,0.54
2023-08-31,0.3275289,0.337851,0.13898500000000003,0.149985,0.43136055,0.374717475,0.5255031375,0.43717038750000003,73.1,84.0,6.7,10.8,19.4,0.0,91.4,76.1,0.0
2023-09-07,0.164928,0.23230800000000004,0.21518000000000004,0.15408,0.1716205,0.17197300000000001,0.198387,0.19645171,78.0,78.5,4.0,5.8,9.7,0.0,85.3,75.2,6.79
2023-09-17,0.8094372,0.8047073999999999,0.10805400000000001,0.1135472,0.5437164,0.66898755,0.5967215800000001,0.7186699300000001,77.8,85.3,6.7,4.0,7.8,0.0,95.0,75.0,0.0
2023-09-22,0.46812479999999995,0.47182905,0.2249108,0.10774080000000001,0.3933468,0.45220032000000004,0.47801001600000004,0.44268285599999996,78.2,86.3,5.6,4.5,7.8,0.0,93.2,80.6,99.99
2023-09-27,0.2964654,0.3169687500000001,0.13596,0.1694628,0.17739720900000003,0.141728405,0.19332659808000002,0.1131481896,77.5,87.6,6.7,3.6,7.8,0.0,96.8,76.5,0.14
2023-10-08,0.46280519999999997,0.4273335,0.2138074,0.10767120000000002,0.40288248000000004,0.44181324,0.32029668,0.3340028,64.8,73.9,6.7,14.6,17.5,27.2,78.8,67.1,0.06
