Date,NPK,PK,NK,CK,OF,Dew Point Temperature (F),Average Temperature (F),Visibility (mi),Average Wind Speed ​​(knots),Maximum Sustained Wind Speed ​​(knots),Maximum Gust (knots),Maximum Temperature (F),Minimum Temperature (F),Precipitation (in)
2022-04-17,2.58158,0.433105,1.47439,0.4824,1.5089722,59.4,63.4,6.4,5.8,9.7,0.0,75.0,59.7,0.06
2022-04-28,1.46276,0.4195,0.7758,0.3664,1.261715,76.9,83.3,6.7,7.0,11.7,0.0,91.4,74.3,0.06
2022-05-10,2.93756,0.50031,2.964255,0.2898,2.04687,75.9,77.5,5.7,4.8,9.7,0.0,83.1,70.7,0.72
2022-05-16,1.42588,0.157975,1.169905,0.11211,0.358575,60.2,67.9,6.3,8.2,15.5,0.0,75.9,58.8,0.1
2022-05-23,1.256045,0.278255,1.005375,0.24553,0.5461968,74.9,76.2,4.7,4.7,7.8,0.0,82.8,72.0,0.06
2022-06-03,0.82,0.25748,1.514275,0.2416,0.9979256,79.9,83.8,6.6,7.2,17.5,0.0,93.2,77.7,0.38
2022-09-04,0.207645,0.09212,0.3318,0.13332,0.2196744,66.8,86.5,6.7,8.5,15.5,0.0,93.2,74.1,0.0
2022-09-09,3.05511,0.643977,2.98660525,0.2947266,2.247718221,76.4,85.5,6.7,4.0,9.7,0.0,94.6,74.5,0.0
2022-09-21,0.993225,0.3255552,0.6728715,0.2872624,0.7086288925,74.8,84.6,6.7,4.9,7.8,0.0,93.4,74.1,0.0
2022-09-28,2.023434,0.2221195,3.0415428,0.291885,0.572212215,74.4,87.0,6.7,5.3,9.7,0.0,96.8,73.9,0.0
2022-10-10,2.749599,0.447984,2.98660525,0.345667,1.942942869,48.3,72.9,6.7,12.6,21.4,27.2,86.2,61.5,0.0
2022-10-25,1.2490787,0.2753898,1.28165125,0.320331,0.440359192,64.7,77.9,6.7,5.4,9.7,0.0,88.7,63.3,0.0
2022-11-01,0.251532,0.2438748,0.2018388,0.1331235,0.363351744,56.1,76.1,6.7,15.4,23.3,33.0,82.4,67.5,0.01
2023-04-07,4.720284855,1.3832058799,4.80463225736,1.2116766051,3.622753263168,55.8,70.3,6.7,9.1,15.5,0.0,83.5,60.8,0.0
2023-04-17,6.5582258742,1.2514021884,6.7486108196,1.212710967,5.20850724966,72.9,82.8,6.2,7.9,13.6,0.0,91.4,66.7,0.0
2023-04-26,5.0661468,1.52956752,4.85618562,1.66647195,3.3971184,59.3,70.1,6.7,5.4,13.6,0.0,78.8,57.4,0.0
2023-05-04,2.67214857,1.189855485,2.66144996,1.088191,2.025386415,75.3,83.9,6.7,8.1,13.6,19.4,93.2,76.1,0.0
2023-05-11,4.052437857,0.618294924,3.2367075624,0.81654068925,3.25527554781,68.7,69.8,4.7,4.0,7.8,0.0,79.2,68.0,0.33
2023-05-18,2.9956024098,0.735118956,2.95129601312,0.797726475,1.9201780477945,78.5,84.5,5.3,4.7,21.4,0.0,95.9,74.8,1.54
2023-06-07,2.1156511662,1.16489837178,2.15522498373,1.094058342,1.5447567408,79.9,81.7,6.4,5.1,9.7,0.0,91.4,76.6,1.68
2023-06-25,1.105242138,0.63916833435,1.174493229,0.56542342675,0.967402644,78.0,82.5,6.6,6.0,15.5,23.3,91.4,74.1,0.13
2023-08-16,6.169233064995,1.051177838256,5.793422826672,1.15207541865,4.848120636931,79.6,88.6,6.7,4.1,7.8,0.0,95.0,78.3,0.0
2023-08-24,4.25751183,1.4483092455,4.892974905,1.501171399,3.31219044,79.2,83.4,6.5,4.7,9.7,0.0,89.6,78.1,0.54
2023-08-31,2.40781544185,1.0708699365,2.37721744,1.0298639624,1.95950805687,73.1,84.0,6.7,10.8,19.4,0.0,91.4,76.1,0.0
2023-09-07,1.6160727583,0.50489257,0.9911807568,0.42320304,0.777036028509,78.0,78.5,4.0,5.8,9.7,0.0,85.3,75.2,6.79
2023-09-17,7.095802662,2.0591158068,6.46943851125,1.68377780025,5.9826233931152,77.8,85.3,6.7,4.0,7.8,0.0,95.0,75.0,0.0
2023-09-22,4.8141622384128,0.74168014362624,5.28555217263684,0.721753489581696,3.62879063228815,78.2,86.3,5.6,4.5,7.8,0.0,93.2,80.6,99.99
2023-09-27,3.443232146445,1.4491825304775,3.1940757472,1.400803829802,2.38935521136,77.5,87.6,6.7,3.6,7.8,0.0,96.8,76.5,0.14
2023-10-08,1.966205168928,0.6435683920679,2.0862257620308,0.4828154695,1.4597527549696,64.8,73.9,6.7,14.6,17.5,27.2,78.8,67.1,0.06
