Cluster,Dew Point Temperature (F),Visibility (mi),Average Wind Speed (knots),Maximum Sustained Wind Speed (knots),Maximum Gust (knots),Maximum Temperature (F),Minimum Temperature (F),Precipitation (in)
0,0.29114081240516976,0.29529296814436673,0.3217786169983205,0.2938091582477365,0.009053368051001863,0.2824407494329007,0.2954558478135879,0.10992515606176582
1,0.01444592806046859,0.48758347247221817,0.30653985784141985,0.12931883449563944,-0.01673241662345996,0.2917399674955667,0.14085024097374563,0.3232955664393296
2,0.4052742897291593,-0.03940135306778987,0.25271237608587177,0.341280831254577,-0.2786418393473828,0.3969508881347991,0.5134154659239908,-0.08060262515995927
