Cluster,Dew Point Temperature (F),Visibility (mi),Average Wind Speed (knots),Maximum Sustained Wind Speed (knots),Maximum Gust (knots),Maximum Temperature (F),Minimum Temperature (F),Precipitation (in)
0,0.013116069638067728,-0.01156248832656591,0.5258011970346561,0.2343005083246318,0.07017004277766645,-0.18604686967407463,-0.062125565028355145,-0.10995674793871377
1,-0.008986455361416925,0.32386443458930697,0.10621887425224442,0.14172398361471095,0.3832308114612565,0.16111839284788645,-0.06206961800354755,0.46587969072959906
2,0.15907614038938128,0.6348852550327987,0.38698052093194446,0.21574462930315447,0.29310325395512205,0.25934408689586047,0.2612929959796227,-0.13137145901788222
