Cluster,Dew Point Temperature (F),Visibility (mi),Average Wind Speed (knots),Maximum Sustained Wind Speed (knots),Maximum Gust (knots),Maximum Temperature (F),Minimum Temperature (F),Precipitation (in)
0,-0.3896120922432649,0.10345597915691125,0.23713792705000244,0.13205382800220647,0.17716228646954324,-0.33157796880952667,-0.43372570380066855,0.20942853854107035
1,-0.2376089883666299,-0.1805780107957295,0.19441668294541992,0.05893297219428451,-0.08323742289600278,-0.2745200785009458,-0.21339315610236392,-0.1269890466277796
2,-1.4348078322149629,0.017741579822090597,0.9338895944441535,0.35358830203412805,0.10084088138300984,-0.7179821054018157,-1.303590045509782,-0.1403215248112398
