Date,NPK,PK,NK,CK,DI,CR,OF,Dew Point Temperature (F),Average Temperature (F),Visibility (mi),Average Wind Speed ​​(knots),Maximum Sustained Wind Speed ​​(knots),Maximum Gust (knots),Maximum Temperature (F),Minimum Temperature (F),Precipitation (in)
2022-04-07,0.8291700000000001,0.5736,0.06039,0.0649,0.5176499999999999,0.697015,0.591948,54.9,76.6,6.5,5.2,11.7,17.1,87.8,60.8,99.99
2022-04-17,0.33503999999999995,0.34668000000000004,0.052199999999999996,0.08014500000000001,0.27416,0.28886000000000006,0.24570099999999997,59.4,63.4,6.4,5.8,9.7,0.0,75.0,59.7,0.06
2022-04-28,0.13493000000000002,0.0952,0.0572,0.04648000000000001,0.11256000000000001,0.168896,0.12904200000000002,76.9,83.3,6.7,7.0,11.7,0.0,91.4,74.3,0.06
2022-05-10,0.54989,0.53889,0.061,0.055,0.52983,0.487917,0.4708744,75.9,77.5,5.7,4.8,9.7,0.0,83.1,70.7,0.72
2022-05-16,0.32456999999999997,0.35952000000000006,0.053399999999999996,0.07466500000000001,0.33376,0.3676400000000001,0.3064036,60.2,67.9,6.3,8.2,15.5,0.0,75.9,58.8,0.1
2022-05-23,0.11659000000000001,0.13090000000000002,0.07722,0.050960000000000005,0.13266,0.140244,0.09889200000000002,74.9,76.2,4.7,4.7,7.8,0.0,82.8,72.0,0.06
2022-06-03,0.08624,0.09040000000000001,0.06832,0.07971500000000001,0.0688,0.11507663999999998,0.070434,79.9,83.8,6.6,7.2,17.5,0.0,93.2,77.7,0.38
2022-09-04,0.6891299999999999,0.6627200000000001,0.07078499999999999,0.06664,0.47104,0.6450840000000001,0.5005312000000001,66.8,86.5,6.7,8.5,15.5,0.0,93.2,74.1,0.0
2022-09-09,0.35792999999999997,0.34450000000000003,0.06144,0.05661,0.35369000000000006,0.2574852,0.409717,76.4,85.5,6.7,4.0,9.7,0.0,94.6,74.5,0.0
2022-09-21,0.53599,0.53504,0.060059999999999995,0.05544,0.49663999999999997,0.429792,0.4739072000000001,74.8,84.6,6.7,4.9,7.8,0.0,93.4,74.1,0.0
2022-09-28,0.13362000000000002,0.12322,0.05462500000000001,0.045045,0.12118,0.08765120000000001,0.12994,74.4,87.0,6.7,5.3,9.7,0.0,96.8,73.9,0.0
2022-10-10,0.30258,0.33475000000000005,0.06464,0.04896,0.37246999999999997,0.2752428,0.409717,48.3,72.9,6.7,12.6,21.4,27.2,86.2,61.5,0.0
2022-10-25,0.09360360000000001,0.071397,0.06966,0.050730000000000004,0.0781028,0.079268436,0.06831301800000002,64.7,77.9,6.7,5.4,9.7,0.0,88.7,63.3,0.0
2023-04-07,0.6552684,0.5858016,0.0572973,0.05665,0.48939240000000006,0.64804212,0.7513793279999998,55.8,70.3,6.7,9.1,15.5,0.0,83.5,60.8,0.0
2023-04-17,0.8291700000000001,0.585072,0.0628056,0.061655,0.5228265,0.6691344,0.5623506,72.9,82.8,6.2,7.9,13.6,0.0,91.4,66.7,0.0
2023-04-26,0.33503999999999995,0.3570804000000001,0.051677999999999995,0.08014500000000001,0.27416,0.29752580000000006,0.25552904,59.3,70.1,6.7,5.4,13.6,0.0,78.8,57.4,0.0
2023-05-04,0.13493000000000002,0.0952,0.056628,0.0446208,0.11256000000000001,0.16720704,0.12258990000000003,75.3,83.9,6.7,8.1,13.6,19.4,93.2,76.1,0.0
2023-05-11,0.5718856,0.5119455,0.05795,0.0572,0.5457249000000001,0.47815865999999996,0.475583144,68.7,69.8,4.7,4.0,7.8,0.0,79.2,68.0,0.33
2023-05-18,0.32456999999999997,0.3631152000000001,0.052865999999999996,0.07839825000000002,0.33376,0.3676400000000001,0.309467636,78.5,84.5,5.3,4.7,21.4,0.0,95.9,74.8,1.54
2023-06-07,0.11192640000000001,0.12435500000000002,0.0779922,0.050960000000000005,0.13266,0.140244,0.09988092000000003,79.9,81.7,6.4,5.1,9.7,0.0,91.4,76.6,1.68
2023-09-07,0.525977,0.6900191999999999,0.06381375,0.05432000000000001,0.5748224000000001,0.5075964000000001,0.564854784,78.0,78.5,4.0,5.8,9.7,0.0,85.3,75.2,6.79
2023-09-17,0.6145626,0.6555182399999999,0.0670044375,0.0646408,0.476377088,0.5112297216,0.6778257408,77.8,85.3,6.7,4.0,7.8,0.0,95.0,75.0,0.0
2023-09-22,0.35730639,0.36006425,0.05564832,0.062389881,0.33095055,0.28883801855999996,0.305022256,78.2,86.3,5.6,4.5,7.8,0.0,93.2,80.6,99.99
2023-09-27,0.3375528,0.37030560000000007,0.055001999999999995,0.07093175000000002,0.3270848,0.3602872000000001,0.312531672,77.5,87.6,6.7,3.6,7.8,0.0,96.8,76.5,0.14
2023-10-08,0.12241950000000001,0.12435500000000002,0.07335900000000001,0.050450400000000006,0.13266,0.140244,0.10284768000000002,64.8,73.9,6.7,14.6,17.5,27.2,78.8,67.1,0.06
2023-10-21,0.0896896,0.09220800000000001,0.07173600000000001,0.08290360000000001,0.066736,0.11277510719999997,0.06761663999999999,59.1,63.6,6.6,8.3,15.5,0.0,75.9,59.9,0.05
