Date,NPK,PK,NK,CK,DI,CR,OF,Dew Point Temperature (F),Average Temperature (F),Visibility (mi),Average Wind Speed ​​(knots),Maximum Sustained Wind Speed ​​(knots),Maximum Gust (knots),Maximum Temperature (F),Minimum Temperature (F),Precipitation (in)
2019-07-05,0.956,1.03,2.38,0.255,1.886,0.302,2.4037157039732135,75.7,87.4,6.3,6.6,9.7,19.4,93.2,79.5,0.03
2019-08-19,1.795,1.607,0.931,2.165,0.931,2.599,2.4037157039732135,77.0,85.5,4.7,3.2,17.5,0.0,93.2,77.5,0.04
2019-08-27,1.966,1.183,1.284,2.033,2.009,2.033,2.4037157039732135,77.1,85.0,5.6,3.2,7.8,0.0,91.4,77.0,0.12
2019-09-03,2.384,1.245,1.169,0.512,1.64,1.586,2.4037157039732135,72.8,83.3,6.5,7.5,13.6,17.5,89.6,74.1,0.39
2019-10-10,2.04,1.679,3.25,1.665,1.37,1.511,2.4037157039732135,71.3,83.7,3.6,2.9,5.8,0.0,89.6,73.0,0.0
2019-11-18,2.75,0.857,3.05,1.775,1.294,3.646,2.4037157039732135,51.3,68.4,6.1,13.6,19.4,25.3,78.8,56.3,0.0
2019-12-10,2.671,1.214,1.736,0.879,1.801,1.729,2.4037157039732135,38.9,61.1,5.9,2.5,5.8,0.0,73.4,45.0,0.0
2020-05-27,2.62,1.075,2.6325,1.265,2.2725,2.049125,2.613375,68.4,79.4,6.1,5.5,10.9,16.5,93.0,73.2,0.38
2020-06-02,2.34,1.4,2.0125,1.325,1.7775,1.4935200000000002,1.6353,73.7,80.1,5.9,4.8,11.7,17.5,86.5,76.1,0.04
2020-06-09,4.24675,1.01,3.68825,1.12,3.66825,2.9007,3.7782975,74.1,78.1,4.8,4.6,13.6,25.3,86.0,73.4,0.75
2020-06-18,2.1075,1.445,2.0875,1.49,2.115,2.2454,2.3053500000000002,74.9,85.2,6.6,5.6,14.4,28.4,93.2,75.7,0.01
2020-06-29,3.6175,1.235,3.4975,1.0,2.53,3.3002000000000002,2.2264,74.3,88.5,6.5,4.9,12.4,17.5,96.8,79.2,0.0
2020-07-14,1.935,1.085,2.11,1.31,1.645,1.62925,1.9740000000000002,72.5,92.3,6.5,4.7,9.7,21.4,100.4,78.8,0.0
2020-08-10,2.0124,1.09585,2.2155,1.3362,1.62855,1.7487855000000003,1.4494094999999998,73.2,89.7,6.7,5.6,10.5,16.7,98.2,80.8,0.0
2020-10-08,2.6775,1.42,3.15,1.43,2.15,2.105,2.322,58.0,73.1,6.7,10.9,15.5,23.1,78.8,68.2,0.0
2020-10-25,5.69,1.0,4.995,1.475,3.98,3.6,3.3432,55.0,75.2,6.7,3.3,6.2,11.8,82.4,63.5,0.0
2020-11-13,2.9925,1.345,2.7,1.135,2.61,2.8449,2.9753999999999996,48.3,75.6,6.6,9.5,15.5,17.3,82.4,58.6,0.0
2020-11-27,3.1645,1.0,3.51,1.185,2.30325,2.669955,2.0498925,52.2,65.9,6.7,12.7,15.5,21.4,81.9,57.4,0.0
2020-12-11,2.4975,1.065,2.475,1.165,1.9125,1.4904000000000002,2.0463750000000003,56.1,68.8,6.4,6.7,11.7,15.9,76.5,62.6,0.01
2020-12-29,2.5075,1.28,3.1275,1.34,2.485,3.05325,2.21165,51.3,66.1,5.2,10.1,25.3,40.4,80.6,50.0,0.0
2021-01-14,2.745,1.31,2.025,1.25,1.395,1.9304999999999999,1.5345,32.2,57.3,5.5,2.7,5.8,0.0,71.6,36.1,0.0
2021-04-28,2.457,1.2599999999999998,2.093,1.4575,1.7419500000000003,1.6279368000000003,1.766124,65.6,69.3,4.8,7.4,11.7,15.2,72.7,65.3,0.5
2021-05-07,4.0344125,1.0201,3.5407200000000003,1.1536000000000002,4.035075,2.958714,4.15612725,74.0,84.8,5.8,5.0,9.7,12.4,93.2,72.5,0.0
2021-05-18,2.1075,1.4016499999999998,1.8996250000000001,1.341,2.2842000000000002,2.312762,2.5128315000000003,77.8,85.0,6.7,6.8,13.6,25.3,93.2,78.1,0.47
2021-06-02,3.6175,1.1732500000000001,3.5324750000000003,1.07,2.6058999999999997,3.2011940000000005,2.382248,76.0,78.0,5.3,5.1,9.7,15.7,86.2,74.8,0.78
2021-06-09,1.87695,1.0416,1.9201,1.3362,1.7766,1.5803725,2.1714,75.5,87.1,6.7,5.3,7.8,12.8,95.0,76.1,0.0
2021-06-26,2.133144,1.1177670000000002,2.281965,1.3762860000000001,1.7262629999999999,1.7487855000000003,1.50738588,78.7,83.3,5.9,4.9,11.7,21.0,91.4,78.3,0.3
2021-07-02,3.7983750000000005,1.1115000000000002,3.462525,0.99,2.4288,3.0031820000000007,2.404512,77.2,87.5,6.7,7.3,11.7,37.1,93.9,80.1,0.05
2021-07-14,1.935,1.11755,1.9201,1.2707000000000002,1.6121,1.5152025,1.9147800000000001,76.6,91.1,6.7,4.1,7.8,17.5,98.6,78.1,0.0
2021-08-15,2.7846,1.3632,3.402,1.4586,2.2145,2.2313,1.99692,77.9,82.4,6.7,5.1,13.6,0.0,89.6,77.0,0.73
2021-08-30,4.8934,1.0,5.44455,1.57825,3.7412,3.744,3.00888,75.9,87.4,6.7,4.4,13.6,18.3,95.0,74.5,0.0
2021-09-10,3.082275,1.1567,2.187,1.0669,2.3751,2.816451,3.064662,78.2,88.7,6.1,3.4,7.8,13.6,97.7,79.0,0.0
2021-09-27,3.069565,0.89,3.8259,1.1139,2.349315,2.9369505,2.152387125,76.1,88.5,5.9,3.6,5.8,0.0,98.6,75.6,0.0
2021-10-07,2.44755,0.9372,2.69775,1.10675,2.0655,1.222128,2.14869375,71.0,88.3,6.7,7.2,13.6,20.6,96.8,74.3,0.01
2021-10-18,2.081225,1.2288,3.0024,1.1926,2.50985,3.236445,2.255883,60.5,73.3,6.7,5.6,9.7,14.8,80.6,60.8,0.0
2021-10-26,2.82735,1.0742,1.863,1.0875,1.32525,1.833975,1.41174,62.2,76.1,6.7,3.3,7.8,12.0,84.9,61.0,0.0
2022-03-30,4.2042825,1.01,3.5776025,1.0640000000000003,3.3381075,3.045735,3.9294294,68.0,73.0,6.0,2.7,5.8,0.0,81.5,60.4,0.0
2022-04-07,3.9494775,1.0605,3.5038375000000004,1.0864,3.2983925,3.045735,3.15612725,54.9,76.6,6.5,5.2,11.7,17.1,87.8,60.8,99.99
2022-04-17,2.0864249999999998,1.5606000000000002,1.9205,1.5645,2.0727,2.0657680000000003,2.259243,59.4,63.4,6.4,5.8,9.7,0.0,75.0,59.7,0.06
2022-04-28,1.89675,1.3583,2.171,1.5943,2.1573,2.447486,2.2822965,76.9,83.3,6.7,7.0,11.7,0.0,91.4,74.3,0.06
2022-05-10,3.2919250000000004,1.3338,3.8122750000000005,0.98,2.2769999999999997,3.0031820000000002,2.1150800000000003,75.9,77.5,5.7,4.8,9.7,0.0,83.1,70.7,0.72
2022-05-16,2.07045,1.0415999999999999,2.2366,1.4148,1.5298500000000002,1.7432975000000002,2.0727,60.2,67.9,6.3,8.2,15.5,0.0,75.9,58.8,0.1
2022-05-23,2.072772,1.0191405,2.104725,1.40301,1.6122645,1.8187369200000003,1.5218799749999998,74.9,76.2,4.7,4.7,7.8,0.0,82.8,72.0,0.06
2022-06-03,1.81116,1.1068085,2.193345,1.2560280000000001,1.7914050000000001,1.5913948050000004,1.4928917849999999,79.9,83.8,6.6,7.2,17.5,0.0,93.2,77.7,0.38
2022-09-04,4.795532,1.09,4.8256685,1.4362075,3.7412,4.1184,3.2796792000000003,66.8,86.5,6.7,8.5,15.5,0.0,93.2,74.1,0.0
2022-09-09,3.1439205,1.2608030000000001,2.01204,1.077569,2.398851,3.06993159,3.0953086200000004,76.4,85.5,6.7,4.0,9.7,0.0,94.6,74.5,0.0
2022-09-21,3.22304325,0.9078,3.7493819999999998,1.058205,2.46678075,2.7313639650000003,2.2815303525000004,74.8,84.6,6.7,4.9,7.8,0.0,93.4,74.1,0.0
2022-09-28,2.3006970000000004,0.909084,2.6707725,1.01821,1.9415700000000002,1.2587918400000002,2.2991023125,74.4,87.0,6.7,5.3,9.7,0.0,96.8,73.9,0.0
2022-10-10,2.9121705,0.988264,1.90026,1.1744999999999999,1.245735,1.70559675,1.4682096,48.3,72.9,6.7,12.6,21.4,27.2,86.2,61.5,0.0
2022-10-25,2.2893475,1.327104,2.762208,1.156822,2.5600470000000004,3.1717161,2.21076534,64.7,77.9,6.7,5.4,9.7,0.0,88.7,63.3,0.0
2023-04-07,2.2697999999999996,1.3719999999999999,2.0326250000000003,1.36475,1.7775,1.5233904000000003,1.684359,55.8,70.3,6.7,9.1,15.5,0.0,83.5,60.8,0.0
2023-04-17,4.076879999999999,1.01,3.7251325,1.0640000000000003,3.5215199999999998,2.784672,3.740514525,72.9,82.8,6.2,7.9,13.6,0.0,91.4,66.7,0.0
2023-04-26,3.0206295,1.1914010000000002,2.0776499999999998,1.024224,2.2563450000000005,2.9291090399999997,2.97272214,59.3,70.1,6.7,5.4,13.6,0.0,78.8,57.4,0.0
2023-05-04,1.87695,1.1067,2.11,1.3362,1.56275,1.596665,2.0134800000000004,75.3,83.9,6.7,8.1,13.6,19.4,93.2,76.1,0.0
2023-05-11,3.64644,1.1115000000000002,3.601026,0.9503999999999999,2.331648,2.853022900000001,2.35642176,68.7,69.8,4.7,4.0,7.8,0.0,79.2,68.0,0.33
2023-05-18,2.7010620000000003,1.417728,3.5380800000000003,1.400256,2.2809350000000004,2.298239,1.8970740000000001,78.5,84.5,5.3,4.7,21.4,0.0,95.9,74.8,1.54
2023-06-07,2.4324299999999996,1.2473999999999998,2.15579,1.442925,1.7419500000000003,1.5628193280000002,1.81910772,79.9,81.7,6.4,5.1,9.7,0.0,91.4,76.6,1.68
2023-09-07,2.6239500000000002,1.42,3.15,1.4586,2.2575,2.2102500000000003,2.322,78.0,78.5,4.0,5.8,9.7,0.0,85.3,75.2,6.79
2023-09-17,5.974500000000001,0.98,4.995,1.5045000000000002,4.1392,3.672,3.51036,77.8,85.3,6.7,4.0,7.8,0.0,95.0,75.0,0.0
2023-09-22,3.1122,1.3719,2.673,1.0896,2.5578,2.930247,2.9456459999999995,78.2,86.3,5.6,4.5,7.8,0.0,93.2,80.6,99.99
2023-09-27,4.195789,1.030301,3.5053128000000005,1.1997440000000001,3.9543735,2.89953972,4.2808110675,77.5,87.6,6.7,3.6,7.8,0.0,96.8,76.5,0.14
2023-10-08,2.002125,1.4156665,1.9186212500000002,1.38123,2.238516,2.24337914,2.46257487,64.8,73.9,6.7,14.6,17.5,27.2,78.8,67.1,0.06
2023-10-21,2.0124,1.139901,1.900899,1.232579,1.6604630000000002,1.5606585750000002,1.8190410000000004,59.1,63.6,6.6,8.3,15.5,0.0,75.9,59.9,0.05
