Date,NPK,PK,NK,CK,MT,SF,OF,Dew Point Temperature (F),Average Temperature (F),Visibility (mi),Average Wind Speed ​​(knots),Maximum Sustained Wind Speed ​​(knots),Maximum Gust (knots),Maximum Temperature (F),Minimum Temperature (F),Precipitation (in)
2022-04-07,0.047838,0.040170000000000004,0.051606,0.0615384,0.0404,0.041580000000000006,0.03755808,54.9,76.6,6.5,5.2,11.7,17.1,87.8,60.8,99.99
2022-04-17,0.22291011200000005,0.335615796,0.04013679600000001,0.06084973440000001,0.390068224,0.36538253,0.40871543815000005,59.4,63.4,6.4,5.8,9.7,0.0,75.0,59.7,0.06
2022-04-28,0.039204,0.037278000000000006,0.0483,0.057499800000000004,0.032735999999999994,0.03696000000000001,0.0352506,76.9,83.3,6.7,7.0,11.7,0.0,91.4,74.3,0.06
2022-05-10,0.16471181999999998,0.23506938,0.049266000000000004,0.05926635000000001,0.21260904,0.243552,0.2019624,75.9,77.5,5.7,4.8,9.7,0.0,83.1,70.7,0.72
2022-05-16,0.047838,0.040170000000000004,0.051606,0.0615384,0.0404,0.041580000000000006,0.03755808,60.2,67.9,6.3,8.2,15.5,0.0,75.9,58.8,0.1
2022-05-23,0.035517999999999994,0.033354,0.042853499999999996,0.0495,0.039896999999999995,0.032536,0.03182256000000001,74.9,76.2,4.7,4.7,7.8,0.0,82.8,72.0,0.06
2022-06-03,0.028747,0.038745,0.049632,0.037884,0.039098,0.036153,0.039438360000000006,79.9,83.8,6.6,7.2,17.5,0.0,93.2,77.7,0.38
2022-06-16,0.04392700000000001,0.042003,0.0486315,0.04539,0.029192000000000003,0.042895,0.035449919999999996,78.8,81.2,4.9,4.5,11.7,0.0,87.8,73.6,0.14
2022-09-04,0.042945000000000004,0.027016000000000002,0.05922,0.05461200000000001,0.025994,0.036455,0.024092000000000002,66.8,86.5,6.7,8.5,15.5,0.0,93.2,74.1,0.0
2022-09-09,0.5134272000000001,0.39508524,0.047724,0.043165125,0.38735004,0.37668983,0.47107391100000007,76.4,85.5,6.7,4.0,9.7,0.0,94.6,74.5,0.0
2022-09-21,0.12528,0.08154,0.052272,0.046056,0.08036700000000001,0.121806,0.12923496,74.8,84.6,6.7,4.9,7.8,0.0,93.4,74.1,0.0
2022-09-28,0.042945000000000004,0.027016000000000002,0.05922,0.05461200000000001,0.025994,0.036455,0.024092000000000002,74.4,87.0,6.7,5.3,9.7,0.0,96.8,73.9,0.0
2022-10-10,0.197796,0.210312,0.043344,0.039603,0.20620799999999997,0.243552,0.17007360000000002,48.3,72.9,6.7,12.6,21.4,27.2,86.2,61.5,0.0
2022-10-25,0.03894,0.04283700000000001,0.0425475,0.049033499999999994,0.027972,0.03933000000000001,0.026772,64.7,77.9,6.7,5.4,9.7,0.0,88.7,63.3,0.0
2022-11-01,0.030690000000000002,0.031833,0.04209,0.044483999999999996,0.038961,0.027945000000000005,0.032844000000000005,56.1,76.1,6.7,15.4,23.3,33.0,82.4,67.5,0.01
2023-04-07,0.33784000000000003,0.34531999999999996,0.049968,0.0616455,0.36036,0.37142,0.35644950000000003,55.8,70.3,6.7,9.1,15.5,0.0,83.5,60.8,0.0
2023-04-17,0.5274297600000001,0.3000304098,0.04662192,0.04446007875,0.32153814000000003,0.479538851,0.4757846501100001,72.9,82.8,6.2,7.9,13.6,0.0,91.4,66.7,0.0
2023-04-26,0.30779520000000005,0.31452600000000003,0.04328478,0.06286644,0.33488,0.4014747,0.39681110500000005,59.3,70.1,6.7,5.4,13.6,0.0,78.8,57.4,0.0
2023-05-04,0.188466,0.235458,0.049896,0.045129,0.21265199999999998,0.202272,0.20408832,75.3,83.9,6.7,8.1,13.6,19.4,93.2,76.1,0.0
2023-05-11,0.45274944000000006,0.3515589,0.049692,0.040831875,0.39487140000000004,0.41478205999999995,0.4441554018,68.7,69.8,4.7,4.0,7.8,0.0,79.2,68.0,0.33
2023-05-18,0.10544400000000001,0.093318,0.0549945,0.043776,0.0903,0.119394,0.11903219999999999,78.5,84.5,5.3,4.7,21.4,0.0,95.9,74.8,1.54
2023-06-07,0.03296,0.036050000000000006,0.058188000000000004,0.046223999999999994,0.039758,0.03136,0.0326144,79.9,81.7,6.4,5.1,9.7,0.0,91.4,76.6,1.68
2023-06-25,0.03366,0.038514,0.04758,0.051560999999999996,0.032301,0.0345,0.026220000000000004,78.0,82.5,6.6,6.0,15.5,23.3,91.4,74.1,0.13
2023-08-16,0.524395872,0.377339886,0.05242752,0.04125574875,0.3501945216,0.48859633680000003,0.48507153578400003,79.6,88.6,6.7,4.1,7.8,0.0,95.0,78.3,0.0
2023-08-24,0.31346828800000004,0.346839408,0.04544901900000001,0.0741823992,0.33434419200000004,0.37641294599999997,0.351351192,79.2,83.4,6.5,4.7,9.7,0.0,89.6,78.1,0.54
2023-08-31,0.21761292,0.25347168,0.055006559999999996,0.047413079999999996,0.19248227999999998,0.19019760000000002,0.24235488,73.1,84.0,6.7,10.8,19.4,0.0,91.4,76.1,0.0
2023-09-07,0.1304478,0.0782784,0.06057018,0.035385599999999996,0.08406930000000001,0.12291552,0.1273304448,78.0,78.5,4.0,5.8,9.7,0.0,85.3,75.2,6.79
2023-09-17,0.48602652384000006,0.32586798004200007,0.04214983679999999,0.035041448475,0.36523348092,0.47492969117,0.4082232297943801,77.8,85.3,6.7,4.0,7.8,0.0,95.0,75.0,0.0
2023-09-22,0.10022400000000001,0.086976,0.05445,0.046968,0.0903,0.11577599999999999,0.11449764,78.2,86.3,5.6,4.5,7.8,0.0,93.2,80.6,99.99
2023-09-27,0.03136,0.03465,0.054831,0.046223999999999994,0.0386,0.030400000000000003,0.032928,77.5,87.6,6.7,3.6,7.8,0.0,96.8,76.5,0.14
2023-10-08,0.12175128000000002,0.106908,0.06360849,0.04902912,0.07708008000000001,0.13545792,0.10123405199999999,64.8,73.9,6.7,14.6,17.5,27.2,78.8,67.1,0.06
